date,Fuel_Consumption_BTU
2001-03-31,12.205
2001-06-30,9.694
2001-09-30,11.724
2001-12-31,11.647
2002-03-31,10.878
2002-06-30,10.33
2002-09-30,11.262
2002-12-31,11.892
2003-03-31,10.101
2003-06-30,8.683
2003-09-30,9.057
2003-12-31,10.172
2004-03-31,13.79766
2004-06-30,12.71683
2004-09-30,13.34623
2004-12-31,12.91915
2005-03-31,10.83137
2005-06-30,10.09707
2005-09-30,12.86712
2005-12-31,11.96321
2006-03-31,12.34829
2006-06-30,11.643
2006-09-30,13.01459
2006-12-31,13.33217
2007-03-31,11.01479
2007-06-30,9.82921
2007-09-30,10.10113
2007-12-31,11.50524
2008-03-31,11.47364
2008-06-30,9.70574
2008-09-30,11.43578
2008-12-31,11.71815
2009-03-31,10.08437
2009-06-30,9.10615
2009-09-30,8.90059
2009-12-31,11.03161
2010-03-31,10.74118
2010-06-30,10.04009
2010-09-30,9.61605
2010-12-31,10.45306
2011-03-31,11.22414
2011-06-30,10.48566
2011-09-30,10.40136
2011-12-31,11.04732
2012-03-31,11.3501
2012-06-30,9.81189
2012-09-30,9.58146
2012-12-31,10.16261
2013-03-31,9.65849
2013-06-30,8.28905
2013-09-30,8.02889
2013-12-31,9.01141
2014-03-31,8.71733
2014-06-30,8.25246
2014-09-30,7.41354
2014-12-31,8.48651
2015-03-31,9.54207
2015-06-30,7.47305
2015-09-30,6.62579
2015-12-31,7.45317
2016-03-31,7.63342
2016-06-30,7.27075
2016-09-30,6.86541
2016-12-31,7.23723
2017-03-31,7.97169
2017-06-30,6.99875
2017-09-30,7.1228
2017-12-31,7.68148
2018-03-31,7.36718
2018-06-30,6.20709
2018-09-30,6.41218
2018-12-31,6.15571
2019-03-31,7.28327
2019-06-30,5.93366
2019-09-30,5.80805
2019-12-31,6.23925
2020-03-31,6.57264
2020-06-30,5.28756
2020-09-30,5.20916
2020-12-31,6.62974
2021-03-31,5.36934
2021-06-30,4.97637
2021-09-30,7.32975
2021-12-31,5.91486
