date,Fuel_Consumption_BTU
2001-03-31,304.852
2001-06-30,302.416
2001-09-30,336.989
2001-12-31,252.999
2002-03-31,220.084
2002-06-30,210.628
2002-09-30,309.783
2002-12-31,225.048
2003-03-31,206.743
2003-06-30,182.359
2003-09-30,300.998
2003-12-31,225.178
2004-03-31,218.43248
2004-06-30,221.62811
2004-09-30,302.95628
2004-12-31,246.28502
2005-03-31,190.67297
2005-06-30,187.38516
2005-09-30,295.95675
2005-12-31,216.07312
2006-03-31,195.66008
2006-06-30,214.6143
2006-09-30,321.69584
2006-12-31,244.90747
2007-03-31,205.75894
2007-06-30,219.56117
2007-09-30,340.04176
2007-12-31,277.46977
2008-03-31,243.94144
2008-06-30,227.64905
2008-09-30,310.98066
2008-12-31,270.24724
2009-03-31,228.0977
2009-06-30,188.56585
2009-09-30,332.46503
2009-12-31,259.46615
2010-03-31,245.82278
2010-06-30,174.80693
2010-09-30,265.40632
2010-12-31,255.68404
2011-03-31,188.02039
2011-06-30,139.29919
2011-09-30,249.87672
2011-12-31,227.56752
2012-03-31,238.93745
2012-06-30,226.4201
2012-09-30,320.81305
2012-12-31,265.67393
2013-03-31,231.88376
2013-06-30,215.64345
2013-09-30,305.95029
2013-12-31,275.34793
2014-03-31,248.60283
2014-06-30,214.88966
2014-09-30,306.30993
2014-12-31,263.76791
2015-03-31,206.01289
2015-06-30,222.16958
2015-09-30,318.50975
2015-12-31,259.52097
2016-03-31,188.48674
2016-06-30,175.59557
2016-09-30,266.76245
2016-12-31,210.34625
2017-03-31,168.58222
2017-06-30,157.40578
2017-09-30,264.36159
2017-12-31,209.43341
2018-03-31,173.07378
2018-06-30,141.15472
2018-09-30,258.03031
2018-12-31,212.4094
2019-03-31,176.63322
2019-06-30,120.03651
2019-09-30,226.89308
2019-12-31,214.16284
2020-03-31,167.72066
2020-06-30,137.95948
2020-09-30,254.45956
2020-12-31,223.15266
2021-03-31,164.40186
2021-06-30,174.8507
2021-09-30,263.62169
2021-12-31,198.90278
