date,Fuel_Consumption_BTU
2001-03-31,1.431
2001-06-30,2.498
2001-09-30,7.593
2001-12-31,4.164
2002-03-31,3.821
2002-06-30,4.105
2002-09-30,10.575
2002-12-31,1.924
2003-03-31,2.172
2003-06-30,2.202
2003-09-30,5.723
2003-12-31,2.143
2004-03-31,3.85713
2004-06-30,4.25107
2004-09-30,3.63734
2004-12-31,3.58027
2005-03-31,3.51522
2005-06-30,2.28195
2005-09-30,5.87349
2005-12-31,1.87173
2006-03-31,1.78994
2006-06-30,2.13354
2006-09-30,4.52329
2006-12-31,1.52224
2007-03-31,3.44849
2007-06-30,5.16022
2007-09-30,9.14608
2007-12-31,3.02201
2008-03-31,1.79838
2008-06-30,3.27466
2008-09-30,5.8593
2008-12-31,2.50693
2009-03-31,2.19461
2009-06-30,1.52963
2009-09-30,5.15545
2009-12-31,3.85229
2010-03-31,2.60976
2010-06-30,6.54037
2010-09-30,11.17501
2010-12-31,4.56565
2011-03-31,5.23787
2011-06-30,10.24959
2011-09-30,13.59441
2011-12-31,12.86854
2012-03-31,13.17739
2012-06-30,17.52096
2012-09-30,19.33257
2012-12-31,12.85409
2013-03-31,13.0536
2013-06-30,13.94339
2013-09-30,17.21355
2013-12-31,12.32624
2014-03-31,10.61114
2014-06-30,13.67914
2014-09-30,19.72764
2014-12-31,16.07479
2015-03-31,10.94604
2015-06-30,19.84548
2015-09-30,20.24077
2015-12-31,11.35855
2016-03-31,12.45836
2016-06-30,18.59755
2016-09-30,24.84687
2016-12-31,15.07748
2017-03-31,12.09428
2017-06-30,16.82482
2017-09-30,19.20624
2017-12-31,11.38869
2018-03-31,10.90022
2018-06-30,11.81841
2018-09-30,16.64876
2018-12-31,10.40892
2019-03-31,8.89161
2019-06-30,10.71666
2019-09-30,17.64795
2019-12-31,8.53961
2020-03-31,8.64351
2020-06-30,12.13868
2020-09-30,17.91227
2020-12-31,8.07842
2021-03-31,5.0727
2021-06-30,8.73339
2021-09-30,12.71802
2021-12-31,9.53446
