date,Fuel_Consumption_BTU
2001-03-31,61.033
2001-06-30,99.349
2001-09-30,135.143
2001-12-31,113.757
2002-03-31,104.834
2002-06-30,147.262
2002-09-30,178.49
2002-12-31,127.201
2003-03-31,116.431
2003-06-30,148.025
2003-09-30,166.687
2003-12-31,141.29
2004-03-31,117.99379
2004-06-30,162.10217
2004-09-30,196.12908
2004-12-31,146.83233
2005-03-31,135.57226
2005-06-30,162.16732
2005-09-30,226.27133
2005-12-31,143.3215
2006-03-31,148.00495
2006-06-30,221.73243
2006-09-30,240.76092
2006-12-31,167.11627
2007-03-31,142.82353
2007-06-30,204.21609
2007-09-30,262.67448
2007-12-31,199.84389
2008-03-31,168.50695
2008-06-30,231.29604
2008-09-30,259.0601
2008-12-31,178.57193
2009-03-31,178.9799
2009-06-30,252.82456
2009-09-30,300.25995
2009-12-31,224.8611
2010-03-31,207.8689
2010-06-30,274.98473
2010-09-30,310.64626
2010-12-31,233.58366
2011-03-31,217.34993
2011-06-30,299.24651
2011-09-30,327.91
2011-12-31,238.79175
2012-03-31,257.24907
2012-06-30,313.09461
2012-09-30,347.18368
2012-12-31,266.06496
2013-03-31,241.82597
2013-06-30,274.71096
2013-09-30,311.17974
2013-12-31,252.38771
2014-03-31,227.81222
2014-06-30,288.93941
2014-09-30,327.8356
2014-12-31,240.75613
2015-03-31,253.28151
2015-06-30,320.80412
2015-09-30,344.52733
2015-12-31,295.24135
2016-03-31,270.09253
2016-06-30,336.28769
2016-09-30,369.62409
2016-12-31,265.23944
2017-03-31,253.58634
2017-06-30,322.00426
2017-09-30,378.24727
2017-12-31,294.054
2018-03-31,278.61135
2018-06-30,331.48016
2018-09-30,405.71108
2018-12-31,315.43766
2019-03-31,284.59597
2019-06-30,371.44302
2019-09-30,416.49415
2019-12-31,320.02087
2020-03-31,322.62829
2020-06-30,363.29541
2020-09-30,419.92327
2020-12-31,329.98799
2021-03-31,286.67603
2021-06-30,349.9158
2021-09-30,421.02546
2021-12-31,326.35416
