date,Fuel_Consumption_BTU
2001-03-31,229.336
2001-06-30,217.389
2001-09-30,262.982
2001-12-31,213.113
2002-03-31,219.836
2002-06-30,220.897
2002-09-30,274.23
2002-12-31,234.492
2003-03-31,241.999
2003-06-30,207.876
2003-09-30,267.602
2003-12-31,242.787
2004-03-31,262.88133
2004-06-30,234.75484
2004-09-30,272.01171
2004-12-31,262.81286
2005-03-31,251.11415
2005-06-30,229.52367
2005-09-30,279.36647
2005-12-31,254.61693
2006-03-31,256.93406
2006-06-30,220.41221
2006-09-30,274.12421
2006-12-31,261.15558
2007-03-31,277.77428
2007-06-30,233.67687
2007-09-30,282.51426
2007-12-31,258.55363
2008-03-31,276.32382
2008-06-30,241.19391
2008-09-30,287.01308
2008-12-31,264.95074
2009-03-31,239.70166
2009-06-30,232.37509
2009-09-30,259.48665
2009-12-31,262.16152
2010-03-31,273.02699
2010-06-30,220.73907
2010-09-30,275.4438
2010-12-31,260.72724
2011-03-31,257.95486
2011-06-30,229.65423
2011-09-30,272.71603
2011-12-31,243.55754
2012-03-31,222.25595
2012-06-30,207.33418
2012-09-30,250.5669
2012-12-31,234.69503
2013-03-31,249.99616
2013-06-30,213.95734
2013-09-30,261.64328
2013-12-31,248.37669
2014-03-31,261.42727
2014-06-30,213.21314
2014-09-30,250.29949
2014-12-31,242.53609
2015-03-31,234.21382
2015-06-30,188.47746
2015-09-30,231.56807
2015-12-31,165.27698
2016-03-31,151.13404
2016-06-30,156.53746
2016-09-30,207.32132
2016-12-31,155.02353
2017-03-31,162.34951
2017-06-30,150.02714
2017-09-30,178.77193
2017-12-31,163.95602
2018-03-31,175.34139
2018-06-30,154.30309
2018-09-30,194.57602
2018-12-31,150.35357
2019-03-31,169.42292
2019-06-30,117.3064
2019-09-30,150.71415
2019-12-31,122.34037
2020-03-31,81.20845
2020-06-30,69.95985
2020-09-30,112.02702
2020-12-31,96.92396
2021-03-31,119.00495
2021-06-30,121.94933
2021-09-30,150.7669
2021-12-31,105.1983
