date,Fuel_Consumption_BTU
2001-03-31,87.752
2001-06-30,84.038
2001-09-30,94.785
2001-12-31,84.201
2002-03-31,90.896
2002-06-30,93.371
2002-09-30,104.436
2002-12-31,98.675
2003-03-31,92.549
2003-06-30,89.944
2003-09-30,101.454
2003-12-31,101.674
2004-03-31,93.04043
2004-06-30,92.03276
2004-09-30,99.30996
2004-12-31,96.07936
2005-03-31,92.27602
2005-06-30,89.90795
2005-09-30,102.50616
2005-12-31,90.11808
2006-03-31,76.31352
2006-06-30,76.91909
2006-09-30,104.39574
2006-12-31,100.9019
2007-03-31,98.43005
2007-06-30,89.80947
2007-09-30,105.07823
2007-12-31,97.24854
2008-03-31,97.12627
2008-06-30,81.52124
2008-09-30,100.07986
2008-12-31,89.06798
2009-03-31,88.99551
2009-06-30,82.3405
2009-09-30,89.91372
2009-12-31,92.35476
2010-03-31,91.28404
2010-06-30,86.3809
2010-09-30,99.01772
2010-12-31,80.57319
2011-03-31,78.67598
2011-06-30,90.71335
2011-09-30,90.39997
2011-12-31,84.22767
2012-03-31,68.8546
2012-06-30,67.88885
2012-09-30,92.47798
2012-12-31,76.36421
2013-03-31,81.52423
2013-06-30,74.09891
2013-09-30,94.3336
2013-12-31,74.8277
2014-03-31,81.1042
2014-06-30,74.77717
2014-09-30,88.86472
2014-12-31,68.87777
2015-03-31,68.11652
2015-06-30,71.26275
2015-09-30,81.39784
2015-12-31,49.87448
2016-03-31,54.33802
2016-06-30,54.99851
2016-09-30,80.56246
2016-12-31,60.9411
2017-03-31,51.02447
2017-06-30,42.37906
2017-09-30,70.53766
2017-12-31,50.37023
2018-03-31,54.04053
2018-06-30,48.95545
2018-09-30,66.90703
2018-12-31,55.23472
2019-03-31,54.76971
2019-06-30,36.42674
2019-09-30,59.6362
2019-12-31,45.12181
2020-03-31,39.09528
2020-06-30,41.19839
2020-09-30,68.48425
2020-12-31,43.77902
2021-03-31,51.80124
2021-06-30,53.57187
2021-09-30,68.97656
2021-12-31,43.4713
