date,Fuel_Consumption_BTU
2001-03-31,29.759
2001-06-30,43.537
2001-09-30,78.941
2001-12-31,38.973
2002-03-31,44.115
2002-06-30,54.477
2002-09-30,82.554
2002-12-31,30.677
2003-03-31,37.606
2003-06-30,51.393
2003-09-30,88.292
2003-12-31,37.624
2004-03-31,43.25655
2004-06-30,61.1926
2004-09-30,78.55754
2004-12-31,38.48726
2005-03-31,38.9679
2005-06-30,67.23721
2005-09-30,103.33598
2005-12-31,51.70666
2006-03-31,53.81244
2006-06-30,87.05139
2006-09-30,101.38638
2006-12-31,57.27537
2007-03-31,58.68925
2007-06-30,72.90868
2007-09-30,105.52061
2007-12-31,65.97482
2008-03-31,62.07557
2008-06-30,72.42563
2008-09-30,96.36699
2008-12-31,67.47829
2009-03-31,69.87978
2009-06-30,75.50201
2009-09-30,99.38225
2009-12-31,55.51283
2010-03-31,62.03246
2010-06-30,74.6264
2010-09-30,110.71821
2010-12-31,57.42214
2011-03-31,51.71922
2011-06-30,67.48714
2011-09-30,112.85643
2011-12-31,46.90877
2012-03-31,65.00149
2012-06-30,101.9271
2012-09-30,115.9015
2012-12-31,49.04906
2013-03-31,54.03926
2013-06-30,65.91983
2013-09-30,88.35717
2013-12-31,53.67439
2014-03-31,57.6609
2014-06-30,50.38713
2014-09-30,66.24395
2014-12-31,46.81582
2015-03-31,64.75343
2015-06-30,60.47065
2015-09-30,83.75798
2015-12-31,64.96164
2016-03-31,60.24832
2016-06-30,80.10081
2016-09-30,95.95512
2016-12-31,61.4377
2017-03-31,42.1883
2017-06-30,63.80185
2017-09-30,88.59125
2017-12-31,53.47322
2018-03-31,56.33626
2018-06-30,96.80293
2018-09-30,117.07065
2018-12-31,68.11277
2019-03-31,70.52963
2019-06-30,79.62784
2019-09-30,130.13041
2019-12-31,81.11041
2020-03-31,89.92855
2020-06-30,84.85246
2020-09-30,119.78804
2020-12-31,65.04088
2021-03-31,63.13874
2021-06-30,64.06218
2021-09-30,95.22315
2021-12-31,51.22456
