date,Fuel_Consumption_BTU
2001-03-31,1.036
2001-06-30,1.786
2001-09-30,1.63
2001-12-31,0.163
2002-03-31,0.214
2002-06-30,0.295
2002-09-30,0.671
2002-12-31,0.061
2003-03-31,0.42
2003-06-30,0.382
2003-09-30,1.147
2003-12-31,0.225
2004-03-31,0.16622
2004-06-30,0.19392
2004-09-30,0.96858
2004-12-31,0.31898
2005-03-31,0.29141
2005-06-30,1.41001
2005-09-30,1.52213
2005-12-31,0.37393
2006-03-31,0.10105
2006-06-30,0.60307
2006-09-30,2.16877
2006-12-31,0.48995
2007-03-31,0.45269
2007-06-30,0.83782
2007-09-30,2.06248
2007-12-31,0.92366
2008-03-31,0.14561
2008-06-30,0.27717
2008-09-30,2.0412
2008-12-31,0.1836
2009-03-31,0.06261
2009-06-30,0.40708
2009-09-30,0.24276
2009-12-31,0.20019
2010-03-31,0.00197
2010-06-30,0.19469
2010-09-30,1.27194
2010-12-31,0.14248
2011-03-31,0.03457
2011-06-30,0.04597
2011-09-30,1.382
2011-12-31,0.12874
2012-03-31,0.01272
2012-06-30,0.37991
2012-09-30,1.88568
2012-12-31,0.24828
2013-03-31,0.22752
2013-06-30,0.17219
2013-09-30,2.07617
2013-12-31,1.71915
2014-03-31,0.53907
2014-06-30,0.62163
2014-09-30,1.57064
2014-12-31,1.28689
2015-03-31,1.12384
2015-06-30,1.58209
2015-09-30,2.3168
2015-12-31,1.44991
2016-03-31,1.95545
2016-06-30,2.06025
2016-09-30,2.39871
2016-12-31,1.43804
2017-03-31,0.98338
2017-06-30,1.48109
2017-09-30,2.1889
2017-12-31,1.41014
2018-03-31,1.66086
2018-06-30,3.20069
2018-09-30,3.20261
2018-12-31,1.75081
2019-03-31,2.77978
2019-06-30,2.89662
2019-09-30,3.07019
2019-12-31,2.13232
2020-03-31,3.2188
2020-06-30,2.44839
2020-09-30,3.73237
2020-12-31,1.23086
2021-03-31,0.0
2021-06-30,3.1972
2021-09-30,4.90908
2021-12-31,3.63845
