date,Fuel_Consumption_BTU
2001-03-31,1.734
2001-06-30,1.663
2001-09-30,3.723
2001-12-31,2.255
2002-03-31,1.833
2002-06-30,1.436
2002-09-30,1.812
2002-12-31,1.599
2003-03-31,1.775
2003-06-30,1.635
2003-09-30,2.587
2003-12-31,1.877
2004-03-31,3.00104
2004-06-30,3.11749
2004-09-30,2.17959
2004-12-31,2.74162
2005-03-31,2.45555
2005-06-30,1.9628
2005-09-30,2.43402
2005-12-31,1.55368
2006-03-31,1.06539
2006-06-30,1.19688
2006-09-30,2.53013
2006-12-31,1.52166
2007-03-31,1.54582
2007-06-30,1.23063
2007-09-30,2.50864
2007-12-31,1.41572
2008-03-31,1.00162
2008-06-30,0.74452
2008-09-30,0.70727
2008-12-31,0.59372
2009-03-31,0.67145
2009-06-30,0.49085
2009-09-30,0.4734
2009-12-31,0.62082
2010-03-31,0.31194
2010-06-30,0.43257
2010-09-30,1.59178
2010-12-31,0.52144
2011-03-31,0.28771
2011-06-30,1.38234
2011-09-30,2.16318
2011-12-31,0.14956
2012-03-31,0.80734
2012-06-30,1.25892
2012-09-30,1.85573
2012-12-31,0.6544
2013-03-31,0.56677
2013-06-30,0.79204
2013-09-30,1.35911
2013-12-31,0.24284
2014-03-31,2.31252
2014-06-30,0.69926
2014-09-30,2.07583
2014-12-31,1.89769
2015-03-31,1.092
2015-06-30,3.87061
2015-09-30,6.14927
2015-12-31,3.00593
2016-03-31,1.7668
2016-06-30,4.76468
2016-09-30,4.51498
2016-12-31,4.52858
2017-03-31,3.05041
2017-06-30,3.90587
2017-09-30,7.43141
2017-12-31,5.73356
2018-03-31,2.9484
2018-06-30,4.17271
2018-09-30,6.87683
2018-12-31,4.52024
2019-03-31,3.1158
2019-06-30,4.70242
2019-09-30,9.51202
2019-12-31,8.07601
2020-03-31,5.22836
2020-06-30,8.10258
2020-09-30,8.888
2020-12-31,8.34245
2021-03-31,4.73077
2021-06-30,8.41064
2021-09-30,7.69671
2021-12-31,8.50403
