date,Fuel_Consumption_BTU
2001-03-31,2.047
2001-06-30,1.605
2001-09-30,1.913
2001-12-31,1.935
2002-03-31,1.849
2002-06-30,1.818
2002-09-30,2.321
2002-12-31,2.088
2003-03-31,1.286
2003-06-30,0.59
2003-09-30,0.977
2003-12-31,0.445
2004-03-31,0.83339
2004-06-30,0.81141
2004-09-30,0.669
2004-12-31,0.78106
2005-03-31,1.10843
2005-06-30,1.69682
2005-09-30,2.795
2005-12-31,1.77225
2006-03-31,2.33062
2006-06-30,2.09184
2006-09-30,1.99683
2006-12-31,2.24924
2007-03-31,2.98083
2007-06-30,2.32979
2007-09-30,2.26009
2007-12-31,2.52411
2008-03-31,2.17715
2008-06-30,1.71028
2008-09-30,1.47
2008-12-31,1.72066
2009-03-31,2.25485
2009-06-30,2.03363
2009-09-30,1.62978
2009-12-31,2.74403
2010-03-31,2.49014
2010-06-30,1.79585
2010-09-30,1.77537
2010-12-31,2.32245
2011-03-31,2.82138
2011-06-30,2.22391
2011-09-30,2.05442
2011-12-31,2.53025
2012-03-31,2.72862
2012-06-30,3.15058
2012-09-30,2.34237
2012-12-31,2.78958
2013-03-31,2.72468
2013-06-30,2.53171
2013-09-30,2.31002
2013-12-31,2.73938
2014-03-31,3.83392
2014-06-30,2.07371
2014-09-30,2.01751
2014-12-31,2.72767
2015-03-31,2.66704
2015-06-30,2.91149
2015-09-30,3.70917
2015-12-31,3.49099
2016-03-31,3.48469
2016-06-30,4.06762
2016-09-30,2.62454
2016-12-31,3.83159
2017-03-31,3.60625
2017-06-30,3.78683
2017-09-30,3.47697
2017-12-31,3.94367
2018-03-31,3.7573
2018-06-30,3.92479
2018-09-30,4.38185
2018-12-31,4.60713
2019-03-31,4.32252
2019-06-30,4.19234
2019-09-30,3.67813
2019-12-31,4.93306
2020-03-31,5.36282
2020-06-30,4.06496
2020-09-30,6.5155
2020-12-31,4.25948
2021-03-31,4.55699
2021-06-30,5.72592
2021-09-30,6.12185
2021-12-31,5.09144
