date,Net_Gen_By_Fuel_MWh
2001-03-31,17430.289
2001-06-30,17043.527
2001-09-30,20808.621
2001-12-31,16915.677
2002-03-31,14804.407
2002-06-30,17004.817
2002-09-30,21197.363
2002-12-31,19035.079
2003-03-31,17926.817
2003-06-30,18237.524
2003-09-30,21853.402
2003-12-31,18678.649
2004-03-31,16623.82682
2004-06-30,18378.01371
2004-09-30,20801.96941
2004-12-31,19027.81442
2005-03-31,18930.07742
2005-06-30,18144.69996
2005-09-30,21422.81478
2005-12-31,19630.86528
2006-03-31,17660.1118
2006-06-30,19388.00592
2006-09-30,21027.09985
2006-12-31,20033.45061
2007-03-31,18510.75072
2007-06-30,20466.30262
2007-09-30,21186.89057
2007-12-31,17829.81646
2008-03-31,18236.47929
2008-06-30,19566.14182
2008-09-30,19859.32442
2008-12-31,16942.70243
2009-03-31,14970.58846
2009-06-30,12664.95346
2009-09-30,15154.61922
2009-12-31,12818.56269
2010-03-31,15826.41868
2010-06-30,16752.34919
2010-09-30,17037.70925
2010-12-31,13433.93351
2011-03-31,14803.21783
2011-06-30,14600.56545
2011-09-30,16243.44155
2011-12-31,11160.1282
2012-03-31,8143.84047
2012-06-30,10836.44918
2012-09-30,14854.62577
2012-12-31,11772.00436
2013-03-31,10348.98758
2013-06-30,11964.47572
2013-09-30,13369.4928
2013-12-31,11367.52783
2014-03-31,12261.60464
2014-06-30,11949.30304
2014-09-30,13676.31897
2014-12-31,9414.39963
2015-03-31,9031.79034
2015-06-30,10805.4693
2015-09-30,13403.92205
2015-12-31,8169.24782
2016-03-31,7135.55559
2016-06-30,7450.17843
2016-09-30,11032.3782
2016-12-31,8640.2933
2017-03-31,7518.26657
2017-06-30,7612.29387
2017-09-30,9035.40586
2017-12-31,7274.43483
2018-03-31,8415.54545
2018-06-30,7966.29467
2018-09-30,9349.58977
2018-12-31,6046.09012
2019-03-31,7074.94836
2019-06-30,5635.65729
2019-09-30,7417.21416
2019-12-31,6527.24774
2020-03-31,4557.08059
2020-06-30,4071.28466
2020-09-30,7242.69361
2020-12-31,5858.46559
2021-03-31,6776.41841
2021-06-30,5491.57629
2021-09-30,8296.44007
2021-12-31,6342.54403
