date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,-0.05647
2013-06-30,-0.05114
2013-09-30,-0.0784
2013-12-31,-0.071
2014-03-31,-0.54867
2014-06-30,-0.55301
2014-09-30,-0.62725
2014-12-31,-0.58406
2015-03-31,-0.57546
2015-06-30,-0.5991
2015-09-30,-0.65753
2015-12-31,-0.57493
2016-03-31,-0.52335
2016-06-30,-0.57133
2016-09-30,-0.66774
2016-12-31,-0.62957
2017-03-31,-0.775
2017-06-30,-0.71
2017-09-30,-0.725
2017-12-31,-0.501
2018-03-31,-0.70846
2018-06-30,-0.76401
2018-09-30,-0.88642
2018-12-31,-0.74111
2019-03-31,-0.92267
2019-06-30,-1.04069
2019-09-30,-1.10155
2019-12-31,-0.8371
2020-03-31,-0.85019
2020-06-30,-0.88893
2020-09-30,-0.91904
2020-12-31,-0.79585
2021-03-31,-0.708
2021-06-30,-0.959
2021-09-30,-1.025
2021-12-31,-0.741
