date,Net_Gen_By_Fuel_MWh
2001-03-31,9195.889
2001-06-30,10615.702
2001-09-30,10370.656
2001-12-31,9879.247
2002-03-31,9071.515
2002-06-30,9479.098
2002-09-30,9626.074
2002-12-31,10049.943
2003-03-31,8659.345
2003-06-30,8988.883
2003-09-30,10429.09
2003-12-31,10014.092
2004-03-31,9519.51278
2004-06-30,9846.48294
2004-09-30,10518.69146
2004-12-31,9925.86887
2005-03-31,8624.38797
2005-06-30,10109.70326
2005-09-30,10836.84862
2005-12-31,10572.594
2006-03-31,9808.66733
2006-06-30,9862.73374
2006-09-30,11010.65544
2006-12-31,9760.79866
2007-03-31,9956.72448
2007-06-30,10398.25661
2007-09-30,10636.58476
2007-12-31,10283.79618
2008-03-31,10553.54715
2008-06-30,10704.96235
2008-09-30,11849.40427
2008-12-31,10732.34638
2009-03-31,9334.03148
2009-06-30,9104.29451
2009-09-30,10686.98077
2009-12-31,10581.51055
2010-03-31,10175.16016
2010-06-30,10573.09985
2010-09-30,11708.0262
2010-12-31,11187.52067
2011-03-31,10344.40887
2011-06-30,10051.21541
2011-09-30,11981.98065
2011-12-31,11324.69176
2012-03-31,9641.08188
2012-06-30,9280.54469
2012-09-30,10513.2122
2012-12-31,10680.82594
2013-03-31,9799.1508
2013-06-30,11215.93165
2013-09-30,11580.44862
2013-12-31,10896.84476
2014-03-31,10191.38469
2014-06-30,10129.68605
2014-09-30,12045.89535
2014-12-31,10298.04449
2015-03-31,8225.14558
2015-06-30,9042.35979
2015-09-30,10493.13747
2015-12-31,8406.5261
2016-03-31,6186.32009
2016-06-30,6595.26414
2016-09-30,9439.3274
2016-12-31,8182.48047
2017-03-31,7435.92588
2017-06-30,6684.90178
2017-09-30,9373.40194
2017-12-31,7901.90867
2018-03-31,7465.4643
2018-06-30,6543.6332
2018-09-30,9110.49108
2018-12-31,7625.03427
2019-03-31,6586.33167
2019-06-30,4779.60666
2019-09-30,7670.232
2019-12-31,4181.80413
2020-03-31,2472.95678
2020-06-30,2746.83635
2020-09-30,4660.42961
2020-12-31,3867.03031
2021-03-31,2671.68721
2021-06-30,3162.97123
2021-09-30,4524.51799
2021-12-31,3941.396
