date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,15.90648
2002-06-30,15.66343
2002-09-30,28.81021
2002-12-31,27.33388
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,786.472
2003-12-31,552.123
2004-03-31,340.65335
2004-06-30,351.85016
2004-09-30,351.54152
2004-12-31,323.50464
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,1.03351
2009-12-31,0.53392
2010-03-31,3.85845
2010-06-30,3.41009
2010-09-30,3.34418
2010-12-31,4.12971
2011-03-31,1.50812
2011-06-30,4.70473
2011-09-30,6.17205
2011-12-31,2.36962
2012-03-31,6.06228
2012-06-30,8.6605
2012-09-30,7.61543
2012-12-31,2.12078
2013-03-31,2.80664
2013-06-30,0.55483
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,0.0
2014-06-30,0.0
2014-09-30,0.0
2014-12-31,0.0
2015-03-31,0.0
2015-06-30,0.0
2015-09-30,0.0
2015-12-31,0.0
2016-03-31,0.0
2016-06-30,0.0
2016-09-30,0.0
2016-12-31,0.0
2017-03-31,-0.129
2017-06-30,-0.35522
2017-09-30,-0.36991
2017-12-31,-0.33189
2018-03-31,-0.21318
2018-06-30,-0.58131
2018-09-30,-0.85956
2018-12-31,-0.88197
2019-03-31,-1.13589
2019-06-30,-1.10364
2019-09-30,-1.01286
2019-12-31,-1.18961
2020-03-31,-1.28872
2020-06-30,-0.54517
2020-09-30,-0.17245
2020-12-31,-0.88566
2021-03-31,-1.156
2021-06-30,-1.308
2021-09-30,-2.508
2021-12-31,-2.241
