date,Net_Gen_By_Fuel_MWh
2001-03-31,486.494
2001-06-30,621.863
2001-09-30,632.584
2001-12-31,491.91
2002-03-31,600.835
2002-06-30,529.617
2002-09-30,614.39
2002-12-31,582.966
2003-03-31,587.413
2003-06-30,489.702
2003-09-30,640.301
2003-12-31,608.888
2004-03-31,627.49709
2004-06-30,435.33108
2004-09-30,611.63207
2004-12-31,563.34809
2005-03-31,506.1344
2005-06-30,517.60495
2005-09-30,558.81338
2005-12-31,552.8221
2006-03-31,522.01442
2006-06-30,499.52181
2006-09-30,616.10468
2006-12-31,597.70102
2007-03-31,555.43092
2007-06-30,564.96911
2007-09-30,617.16934
2007-12-31,560.73622
2008-03-31,506.70505
2008-06-30,533.55177
2008-09-30,642.31136
2008-12-31,597.83233
2009-03-31,509.95105
2009-06-30,465.91942
2009-09-30,516.95727
2009-12-31,557.11914
2010-03-31,509.06974
2010-06-30,536.24063
2010-09-30,561.9871
2010-12-31,492.92381
2011-03-31,544.31828
2011-06-30,502.78713
2011-09-30,495.45789
2011-12-31,439.61909
2012-03-31,441.43214
2012-06-30,307.05138
2012-09-30,386.90964
2012-12-31,239.69008
2013-03-31,155.66769
2013-06-30,232.1302
2013-09-30,330.05715
2013-12-31,105.31591
2014-03-31,133.04666
2014-06-30,218.93583
2014-09-30,347.50185
2014-12-31,105.27525
2015-03-31,78.19163
2015-06-30,77.25048
2015-09-30,72.44292
2015-12-31,69.98903
2016-03-31,83.93381
2016-06-30,77.79259
2016-09-30,76.9344
2016-12-31,80.21502
2017-03-31,78.32989
2017-06-30,60.58153
2017-09-30,73.48904
2017-12-31,78.69172
2018-03-31,74.74055
2018-06-30,70.43434
2018-09-30,73.14485
2018-12-31,63.0084
2019-03-31,74.82712
2019-06-30,68.78483
2019-09-30,15.67819
2019-12-31,81.16575
2020-03-31,72.02304
2020-06-30,67.29201
2020-09-30,70.77129
2020-12-31,80.20452
2021-03-31,70.73969
2021-06-30,76.72523
2021-09-30,75.94268
2021-12-31,70.7462
