date,Net_Gen_By_Fuel_MWh
2001-03-31,28537.245
2001-06-30,28257.749
2001-09-30,31764.681
2001-12-31,23372.595
2002-03-31,20279.596
2002-06-30,19171.265
2002-09-30,29209.485
2002-12-31,20963.698
2003-03-31,20499.843
2003-06-30,17352.484
2003-09-30,30449.842
2003-12-31,23130.012
2004-03-31,22148.72402
2004-06-30,21932.78752
2004-09-30,30852.32275
2004-12-31,25288.39857
2005-03-31,19998.91043
2005-06-30,18984.97874
2005-09-30,30998.30109
2005-12-31,23371.65903
2006-03-31,20758.07258
2006-06-30,22195.35412
2006-09-30,35224.00665
2006-12-31,27513.68286
2007-03-31,23084.29334
2007-06-30,24210.628
2007-09-30,37201.2378
2007-12-31,31204.31124
2008-03-31,28320.1068
2008-06-30,25672.69651
2008-09-30,35335.25815
2008-12-31,30663.67577
2009-03-31,26222.45313
2009-06-30,20505.02761
2009-09-30,36964.70641
2009-12-31,29771.26757
2010-03-31,28631.13274
2010-06-30,19583.53518
2010-09-30,29781.15436
2010-12-31,29526.49119
2011-03-31,20798.11493
2011-06-30,14422.3306
2011-09-30,27649.43613
2011-12-31,26103.94909
2012-03-31,27782.43102
2012-06-30,25196.52359
2012-09-30,36100.22045
2012-12-31,30589.15357
2013-03-31,27226.00828
2013-06-30,24398.34079
2013-09-30,35508.1886
2013-12-31,32390.32162
2014-03-31,29227.77493
2014-06-30,24565.11253
2014-09-30,35827.97995
2014-12-31,30805.56808
2015-03-31,23944.60525
2015-06-30,25481.70338
2015-09-30,36480.60496
2015-12-31,30232.6951
2016-03-31,21700.06545
2016-06-30,19727.28093
2016-09-30,31083.65602
2016-12-31,24562.66154
2017-03-31,18450.66379
2017-06-30,16641.27267
2017-09-30,29705.61063
2017-12-31,23552.61122
2018-03-31,19858.21228
2018-06-30,15369.42566
2018-09-30,29544.71716
2018-12-31,25032.34816
2019-03-31,20743.57725
2019-06-30,13061.93876
2019-09-30,26318.22571
2019-12-31,25717.03302
2020-03-31,19744.81379
2020-06-30,15544.15567
2020-09-30,29862.09945
2020-12-31,26895.61616
2021-03-31,19504.66884
2021-06-30,20643.51059
2021-09-30,32006.61203
2021-12-31,24335.25827
