date,Net_Gen_By_Fuel_MWh
2001-03-31,7078.495
2001-06-30,7087.395
2001-09-30,9738.403
2001-12-31,9315.227
2002-03-31,9342.729
2002-06-30,7510.709
2002-09-30,9514.389
2002-12-31,7984.513
2003-03-31,6873.324
2003-06-30,9187.107
2003-09-30,9806.975
2003-12-31,9726.383
2004-03-31,7606.834
2004-06-30,7325.36
2004-09-30,9548.906
2004-12-31,5786.787
2005-03-31,8550.641
2005-06-30,9431.329
2005-09-30,9653.141
2005-12-31,8519.787
2006-03-31,7186.478
2006-06-30,6932.167
2006-09-30,9954.43
2006-12-31,7885.546
2007-03-31,9753.956
2007-06-30,8557.409
2007-09-30,9690.184
2007-12-31,7790.941
2008-03-31,7645.572
2008-06-30,8293.629
2008-09-30,8862.539
2008-12-31,7680.611
2009-03-31,6670.717
2009-06-30,9753.716
2009-09-30,9003.9
2009-12-31,6335.471
2010-03-31,6739.479
2010-06-30,9123.923
2010-09-30,9997.182
2010-12-31,6340.173
2011-03-31,8248.51
2011-06-30,8845.859
2011-09-30,9616.93
2011-12-31,9951.948
2012-03-31,5865.756
2012-06-30,3105.009
2012-09-30,4950.814
2012-12-31,4585.829
2013-03-31,3461.492
2013-06-30,4787.365
2013-09-30,4808.307
2013-12-31,4854.779
2014-03-31,3356.477
2014-06-30,4952.315
2014-09-30,4783.738
2014-12-31,3893.448
2015-03-31,4783.911
2015-06-30,4981.465
2015-09-30,4881.592
2015-12-31,3858.417
2016-03-31,4967.655
2016-06-30,4007.96
2016-09-30,5011.937
2016-12-31,4920.026
2017-03-31,4740.638
2017-06-30,3212.834
2017-09-30,4953.954
2017-12-31,4993.653
2018-03-31,3695.747
2018-06-30,4866.529
2018-09-30,4921.833
2018-12-31,4729.41
2019-03-31,3801.426
2019-06-30,4877.437
2019-09-30,4734.851
2019-12-31,2751.67
2020-03-31,4846.63
2020-06-30,4856.365
2020-09-30,4476.487
2020-12-31,2079.216
2021-03-31,2928.227
2021-06-30,4230.509
2021-09-30,4991.783
2021-12-31,4326.847
