date,Net_Gen_By_Fuel_MWh
2001-03-31,5010.38622
2001-06-30,5612.43696
2001-09-30,5947.54598
2001-12-31,5059.2471
2002-03-31,5372.81616
2002-06-30,6206.78708
2002-09-30,6349.12604
2002-12-31,5478.25196
2003-03-31,5475.15725
2003-06-30,6204.19375
2003-09-30,6287.04576
2003-12-31,5578.72003
2004-03-31,5508.79381
2004-06-30,6569.27873
2004-09-30,6520.56086
2004-12-31,5372.26593
2005-03-31,5268.13709
2005-06-30,6498.49197
2005-09-30,6327.35855
2005-12-31,5560.25952
2006-03-31,5553.94293
2006-06-30,6094.14523
2006-09-30,6488.5083
2006-12-31,5778.79891
2007-03-31,5868.60636
2007-06-30,6729.55881
2007-09-30,6718.13328
2007-12-31,5528.95878
2008-03-31,5701.34698
2008-06-30,6677.21696
2008-09-30,6851.88952
2008-12-31,5553.48337
2009-03-31,5638.63284
2009-06-30,7005.62183
2009-09-30,7174.14406
2009-12-31,5721.26288
2010-03-31,5483.76654
2010-06-30,6924.0432
2010-09-30,7357.08107
2010-12-31,5684.83023
2011-03-31,5983.42447
2011-06-30,7776.47157
2011-09-30,7396.81154
2011-12-31,6065.71787
2012-03-31,6533.50619
2012-06-30,8500.67912
2012-09-30,8028.20672
2012-12-31,6904.45339
2013-03-31,7345.05161
2013-06-30,10362.52453
2013-09-30,10078.43381
2013-12-31,7791.62226
2014-03-31,8433.9599
2014-06-30,12518.16517
2014-09-30,11778.86199
2014-12-31,9185.77022
2015-03-31,9051.20385
2015-06-30,13619.33257
2015-09-30,13021.10598
2015-12-31,9703.32907
2016-03-31,9902.84711
2016-06-30,14155.85074
2016-09-30,14967.60645
2016-12-31,10685.95977
2017-03-31,10892.54923
2017-06-30,16651.38812
2017-09-30,16350.64997
2017-12-31,10649.33985
2018-03-31,11689.03767
2018-06-30,17996.31534
2018-09-30,17400.33057
2018-12-31,11546.70493
2019-03-31,12044.00982
2019-06-30,17812.53095
2019-09-30,18328.30561
2019-12-31,10736.40737
2020-03-31,12430.18843
2020-06-30,18400.33569
2020-09-30,17898.47933
2020-12-31,12133.35079
2021-03-31,14736.84857
2021-06-30,19970.22814
2021-09-30,17994.90681
2021-12-31,14428.07448
