date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,9.90282
2007-06-30,10.2766
2007-09-30,10.65547
2007-12-31,10.35519
2008-03-31,7.65225
2008-06-30,8.87932
2008-09-30,7.73964
2008-12-31,8.51965
2009-03-31,10.83105
2009-06-30,13.20357
2009-09-30,16.61456
2009-12-31,12.76205
2010-03-31,13.02192
2010-06-30,15.4772
2010-09-30,20.51717
2010-12-31,20.72472
2011-03-31,16.12459
2011-06-30,14.09588
2011-09-30,15.78077
2011-12-31,17.45277
2012-03-31,14.15072
2012-06-30,11.78419
2012-09-30,14.19564
2012-12-31,15.23744
2013-03-31,11.80327
2013-06-30,10.61285
2013-09-30,12.14696
2013-12-31,11.61691
2014-03-31,14.47385
2014-06-30,11.08501
2014-09-30,10.35628
2014-12-31,10.95887
2015-03-31,11.15262
2015-06-30,10.73185
2015-09-30,15.61131
2015-12-31,14.82824
2016-03-31,13.7892
2016-06-30,13.51164
2016-09-30,12.98677
2016-12-31,13.1004
2017-03-31,14.58
2017-06-30,13.514
2017-09-30,14.03366
2017-12-31,14.58334
2018-03-31,15.40473
2018-06-30,15.37517
2018-09-30,14.40123
2018-12-31,14.11089
2019-03-31,12.24512
2019-06-30,15.25773
2019-09-30,16.49733
2019-12-31,16.39583
2020-03-31,15.97121
2020-06-30,15.63262
2020-09-30,15.02932
2020-12-31,12.70686
2021-03-31,11.965
2021-06-30,12.908
2021-09-30,15.559
2021-12-31,14.495
