date,Net_Gen_By_Fuel_MWh
2001-03-31,677.108
2001-06-30,484.845
2001-09-30,1518.922
2001-12-31,1407.353
2002-03-31,1766.28
2002-06-30,2123.941
2002-09-30,3042.528
2002-12-31,1935.719
2003-03-31,1123.574
2003-06-30,1097.045
2003-09-30,1479.683
2003-12-31,1361.312
2004-03-31,1452.82423
2004-06-30,2179.81557
2004-09-30,2721.14093
2004-12-31,1754.02552
2005-03-31,1894.67959
2005-06-30,2578.06876
2005-09-30,2582.35326
2005-12-31,1808.79056
2006-03-31,2322.68286
2006-06-30,2700.5232
2006-09-30,3034.52896
2006-12-31,2426.74626
2007-03-31,2108.69719
2007-06-30,2470.91725
2007-09-30,3123.81492
2007-12-31,2226.12997
2008-03-31,1688.42799
2008-06-30,1935.44078
2008-09-30,2398.04572
2008-12-31,2047.93771
2009-03-31,2232.59985
2009-06-30,1973.50412
2009-09-30,3050.35684
2009-12-31,2552.89028
2010-03-31,2289.53581
2010-06-30,2508.17706
2010-09-30,3742.67682
2010-12-31,3175.2825
2011-03-31,3133.97029
2011-06-30,3345.90635
2011-09-30,4664.53168
2011-12-31,4043.73695
2012-03-31,3476.40088
2012-06-30,3428.38847
2012-09-30,5079.41383
2012-12-31,4552.96572
2013-03-31,3838.51366
2013-06-30,3889.3424
2013-09-30,4430.75721
2013-12-31,3621.68376
2014-03-31,2856.19521
2014-06-30,3745.10571
2014-09-30,4358.01813
2014-12-31,3724.58582
2015-03-31,3924.02201
2015-06-30,3923.77302
2015-09-30,4872.90949
2015-12-31,4641.6046
2016-03-31,4310.33205
2016-06-30,4522.15345
2016-09-30,4835.66776
2016-12-31,4283.35015
2017-03-31,3976.10375
2017-06-30,3203.5928
2017-09-30,4327.70983
2017-12-31,4453.85059
2018-03-31,4190.96899
2018-06-30,4230.46581
2018-09-30,6032.46111
2018-12-31,5552.56158
2019-03-31,4689.10659
2019-06-30,4956.83074
2019-09-30,6293.16377
2019-12-31,5403.99396
2020-03-31,5667.91661
2020-06-30,5497.92757
2020-09-30,6884.56708
2020-12-31,5486.40161
2021-03-31,5748.22579
2021-06-30,5551.4286
2021-09-30,6927.27466
2021-12-31,6318.23523
