date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,25.44208
2014-06-30,38.50827
2014-09-30,43.18153
2014-12-31,30.74892
2015-03-31,37.76281
2015-06-30,61.45591
2015-09-30,70.72821
2015-12-31,46.26257
2016-03-31,64.72826
2016-06-30,100.74206
2016-09-30,109.82918
2016-12-31,69.1721
2017-03-31,86.04722
2017-06-30,135.97453
2017-09-30,142.34797
2017-12-31,82.73796
2018-03-31,112.53059
2018-06-30,182.65859
2018-09-30,178.17492
2018-12-31,131.96019
2019-03-31,148.17821
2019-06-30,222.0451
2019-09-30,237.88434
2019-12-31,130.26268
2020-03-31,191.98238
2020-06-30,296.10279
2020-09-30,294.48761
2020-12-31,166.26547
2021-03-31,223.52113
2021-06-30,364.25552
2021-09-30,345.71713
2021-12-31,216.04031
