date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,1.39799
2014-06-30,3.03798
2014-09-30,4.15175
2014-12-31,3.11851
2015-03-31,3.41111
2015-06-30,5.26296
2015-09-30,5.21317
2015-12-31,3.55182
2016-03-31,3.65086
2016-06-30,6.06053
2016-09-30,8.56876
2016-12-31,6.23787
2017-03-31,7.82101
2017-06-30,12.32422
2017-09-30,12.69389
2017-12-31,7.02702
2018-03-31,12.78235
2018-06-30,30.56967
2018-09-30,23.20422
2018-12-31,38.99877
2019-03-31,27.9873
2019-06-30,41.21018
2019-09-30,45.89029
2019-12-31,23.36527
2020-03-31,43.44631
2020-06-30,67.37304
2020-09-30,66.50913
2020-12-31,36.35753
2021-03-31,53.99167
2021-06-30,87.21041
2021-09-30,86.37955
2021-12-31,62.04126
