date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,25.14256
2014-06-30,35.16016
2014-09-30,34.8148
2014-12-31,25.86604
2015-03-31,24.86104
2015-06-30,39.13101
2015-09-30,38.37189
2015-12-31,25.48341
2016-03-31,20.35705
2016-06-30,32.15502
2016-09-30,35.54655
2016-12-31,30.45383
2017-03-31,28.79481
2017-06-30,42.49129
2017-09-30,42.45762
2017-12-31,28.89215
2018-03-31,33.33339
2018-06-30,47.41447
2018-09-30,46.85444
2018-12-31,31.90152
2019-03-31,36.92937
2019-06-30,54.25759
2019-09-30,52.6285
2019-12-31,34.48907
2020-03-31,38.77162
2020-06-30,55.8349
2020-09-30,53.40876
2020-12-31,34.59099
2021-03-31,39.84867
2021-06-30,62.41767
2021-09-30,60.30997
2021-12-31,39.19171
