date,Net_Gen_By_Fuel_MWh
2001-03-31,6822.513
2001-06-30,10514.478
2001-09-30,14113.972
2001-12-31,12118.843
2002-03-31,11613.559
2002-06-30,16144.707
2002-09-30,20505.676
2002-12-31,14900.094
2003-03-31,14080.927
2003-06-30,17849.284
2003-09-30,19470.883
2003-12-31,16892.324
2004-03-31,14720.66905
2004-06-30,19962.64202
2004-09-30,23777.39183
2004-12-31,18116.26746
2005-03-31,17274.65763
2005-06-30,20679.20341
2005-09-30,27442.96501
2005-12-31,18198.3685
2006-03-31,18889.72029
2006-06-30,27169.87227
2006-09-30,29301.61473
2006-12-31,20824.93248
2007-03-31,18325.29244
2007-06-30,25380.88244
2007-09-30,32002.73482
2007-12-31,24598.27346
2008-03-31,21018.41875
2008-06-30,28075.53378
2008-09-30,31772.77452
2008-12-31,22496.396
2009-03-31,22731.21679
2009-06-30,31070.84307
2009-09-30,36536.19804
2009-12-31,27984.05005
2010-03-31,26365.32211
2010-06-30,34117.64661
2010-09-30,38630.98035
2010-12-31,29520.30232
2011-03-31,28209.89111
2011-06-30,36570.25546
2011-09-30,40784.79803
2011-12-31,30798.9291
2012-03-31,33243.63068
2012-06-30,39323.91036
2012-09-30,43617.05451
2012-12-31,33515.0458
2013-03-31,31190.32184
2013-06-30,35339.48373
2013-09-30,39931.6837
2013-12-31,32504.87928
2014-03-31,29428.16876
2014-06-30,37097.36827
2014-09-30,42406.89035
2014-12-31,31101.64224
2015-03-31,33383.56444
2015-06-30,40924.64465
2015-09-30,44040.57164
2015-12-31,37475.37102
2016-03-31,34668.54828
2016-06-30,42025.37058
2016-09-30,47341.54562
2016-12-31,34459.9803
2017-03-31,33215.71289
2017-06-30,41533.47974
2017-09-30,48822.69814
2017-12-31,37532.69764
2018-03-31,36047.92003
2018-06-30,43050.91942
2018-09-30,52022.05681
2018-12-31,40751.31821
2019-03-31,37356.00206
2019-06-30,47886.19472
2019-09-30,54828.14426
2019-12-31,41936.50125
2020-03-31,42612.25178
2020-06-30,48084.9339
2020-09-30,55387.19697
2020-12-31,43336.07973
2021-03-31,37162.04255
2021-06-30,45607.51349
2021-09-30,55148.25672
2021-12-31,42684.36685
