date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.28726
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.87227
2013-06-30,1.26793
2013-09-30,1.26894
2013-12-31,11.08817
2014-03-31,26.87845
2014-06-30,34.87268
2014-09-30,31.51608
2014-12-31,25.95945
2015-03-31,25.72417
2015-06-30,35.91935
2015-09-30,33.79716
2015-12-31,34.01123
2016-03-31,101.80695
2016-06-30,165.17802
2016-09-30,244.49608
2016-12-31,369.44196
2017-03-31,441.13181
2017-06-30,605.58886
2017-09-30,580.4208
2017-12-31,359.13054
2018-03-31,409.73105
2018-06-30,612.90517
2018-09-30,596.75768
2018-12-31,376.44267
2019-03-31,422.75094
2019-06-30,656.31248
2019-09-30,613.98742
2019-12-31,467.71918
2020-03-31,667.06111
2020-06-30,1107.5146
2020-09-30,1109.9391
2020-12-31,895.62244
2021-03-31,909.51767
2021-06-30,1522.46675
2021-09-30,1360.31994
2021-12-31,1028.01399
