date,Net_Gen_By_Fuel_MWh
2001-03-31,107.96653
2001-06-30,140.08271
2001-09-30,123.80251
2001-12-31,124.57062
2002-03-31,102.96276
2002-06-30,89.2034
2002-09-30,115.09008
2002-12-31,63.66576
2003-03-31,79.17535
2003-06-30,148.9313
2003-09-30,152.5736
2003-12-31,146.3493
2004-03-31,127.25836
2004-06-30,140.43131
2004-09-30,143.82484
2004-12-31,138.10003
2005-03-31,141.15396
2005-06-30,126.13202
2005-09-30,138.99855
2005-12-31,131.68411
2006-03-31,145.33174
2006-06-30,151.92191
2006-09-30,159.76237
2006-12-31,160.62627
2007-03-31,139.39533
2007-06-30,208.59299
2007-09-30,202.09908
2007-12-31,203.25971
2008-03-31,179.13098
2008-06-30,209.07594
2008-09-30,216.91795
2008-12-31,171.67224
2009-03-31,177.86685
2009-06-30,158.48013
2009-09-30,211.87609
2009-12-31,156.6116
2010-03-31,134.05062
2010-06-30,211.93661
2010-09-30,233.34228
2010-12-31,167.63825
2011-03-31,181.01357
2011-06-30,214.64202
2011-09-30,240.78485
2011-12-31,244.47948
2012-03-31,181.06361
2012-06-30,246.66041
2012-09-30,267.70943
2012-12-31,229.38165
2013-03-31,227.52393
2013-06-30,288.61991
2013-09-30,336.23751
2013-12-31,274.59987
2014-03-31,220.94541
2014-06-30,345.49448
2014-09-30,334.45619
2014-12-31,304.85375
2015-03-31,223.65218
2015-06-30,338.44201
2015-09-30,339.53643
2015-12-31,316.81991
2016-03-31,225.99308
2016-06-30,356.55384
2016-09-30,390.70856
2016-12-31,373.9501
2017-03-31,335.5046
2017-06-30,343.59863
2017-09-30,314.21341
2017-12-31,329.1112
2018-03-31,305.82086
2018-06-30,320.3538
2018-09-30,278.78848
2018-12-31,297.14856
2019-03-31,257.13851
2019-06-30,277.43803
2019-09-30,265.38811
2019-12-31,289.0255
2020-03-31,300.35314
2020-06-30,345.86911
2020-09-30,373.28403
2020-12-31,322.62285
2021-03-31,378.06763
2021-06-30,413.41328
2021-09-30,450.38474
2021-12-31,404.26225
