date,Net_Gen_By_Fuel_MWh
2001-03-31,161.85377
2001-06-30,166.36232
2001-09-30,183.42101
2001-12-31,166.93238
2002-03-31,159.81651
2002-06-30,188.51643
2002-09-30,224.65418
2002-12-31,150.52306
2003-03-31,216.61594
2003-06-30,192.30518
2003-09-30,209.69445
2003-12-31,200.33482
2004-03-31,194.98928
2004-06-30,210.15545
2004-09-30,200.83518
2004-12-31,216.01922
2005-03-31,169.13305
2005-06-30,187.42204
2005-09-30,178.91418
2005-12-31,247.41193
2006-03-31,214.27297
2006-06-30,200.11634
2006-09-30,188.94609
2006-12-31,245.49695
2007-03-31,208.81939
2007-06-30,319.25147
2007-09-30,289.62728
2007-12-31,467.0541
2008-03-31,773.31838
2008-06-30,779.7599
2008-09-30,430.74633
2008-12-31,1051.15218
2009-03-31,990.5066
2009-06-30,810.52265
2009-09-30,509.42531
2009-12-31,1219.29782
2010-03-31,1172.12025
2010-06-30,1292.01335
2010-09-30,954.58254
2010-12-31,1719.44302
2011-03-31,1727.57903
2011-06-30,1838.92455
2011-09-30,1050.03389
2011-12-31,2248.75622
2012-03-31,2521.88477
2012-06-30,2160.80263
2012-09-30,1209.01455
2012-12-31,2480.95691
2013-03-31,3235.0592
2013-06-30,2603.71201
2013-09-30,1392.22026
2013-12-31,3054.34397
2014-03-31,3398.81307
2014-06-30,2772.46362
2014-09-30,1475.71554
2014-12-31,3052.39104
2015-03-31,3044.05137
2015-06-30,2635.77851
2015-09-30,1631.76612
2015-12-31,4011.89158
2016-03-31,3648.31392
2016-06-30,2612.47256
2016-09-30,1540.4892
2016-12-31,3377.98033
2017-03-31,3875.43792
2017-06-30,3497.82972
2017-09-30,1544.73416
2017-12-31,3875.96943
2018-03-31,4138.27647
2018-06-30,2700.1845
2018-09-30,1935.43069
2018-12-31,3617.51272
2019-03-31,4388.80851
2019-06-30,3916.24553
2019-09-30,2254.91744
2019-12-31,4373.73515
2020-03-31,4683.08749
2020-06-30,4168.58001
2020-09-30,2352.31921
2020-12-31,5491.92146
2021-03-31,5444.88964
2021-06-30,4667.00568
2021-09-30,3389.33878
2021-12-31,6113.43982
