date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.00021
2012-06-30,0.00065
2012-09-30,0.00068
2012-12-31,0.0
2013-03-31,1.60334
2013-06-30,3.06481
2013-09-30,3.59606
2013-12-31,22.2758
2014-03-31,14.18486
2014-06-30,29.24851
2014-09-30,33.59631
2014-12-31,25.09721
2015-03-31,29.17086
2015-06-30,45.12976
2015-09-30,46.93459
2015-12-31,34.86279
2016-03-31,40.75235
2016-06-30,58.13143
2016-09-30,71.84294
2016-12-31,55.11387
2017-03-31,49.1633
2017-06-30,87.65911
2017-09-30,95.18909
2017-12-31,45.66319
2018-03-31,51.12836
2018-06-30,101.33254
2018-09-30,97.2498
2018-12-31,41.00677
2019-03-31,61.76828
2019-06-30,95.89416
2019-09-30,112.80538
2019-12-31,52.13297
2020-03-31,55.53872
2020-06-30,115.97284
2020-09-30,122.36068
2020-12-31,64.88066
2021-03-31,93.70786
2021-06-30,202.3465
2021-09-30,205.01935
2021-12-31,167.58112
