date,Net_Gen_By_Fuel_MWh
2001-03-31,205.954
2001-06-30,328.585
2001-09-30,1175.996
2001-12-31,240.764
2002-03-31,270.324
2002-06-30,374.283
2002-09-30,982.157
2002-12-31,162.288
2003-03-31,217.242
2003-06-30,216.546
2003-09-30,620.979
2003-12-31,171.003
2004-03-31,102.36023
2004-06-30,211.37703
2004-09-30,401.08796
2004-12-31,116.80914
2005-03-31,158.10564
2005-06-30,300.09595
2005-09-30,491.78986
2005-12-31,187.49037
2006-03-31,185.0563
2006-06-30,473.36463
2006-09-30,936.40825
2006-12-31,244.57712
2007-03-31,193.52906
2007-06-30,393.31222
2007-09-30,1217.00457
2007-12-31,328.76324
2008-03-31,255.27479
2008-06-30,491.54684
2008-09-30,952.56795
2008-12-31,530.33358
2009-03-31,445.01311
2009-06-30,688.67318
2009-09-30,1085.54377
2009-12-31,449.6606
2010-03-31,348.26864
2010-06-30,511.61173
2010-09-30,1163.76162
2010-12-31,263.68064
2011-03-31,290.66809
2011-06-30,655.4472
2011-09-30,1366.18059
2011-12-31,222.79151
2012-03-31,451.3674
2012-06-30,966.57998
2012-09-30,1240.48592
2012-12-31,201.37861
2013-03-31,351.67541
2013-06-30,587.1486
2013-09-30,731.25143
2013-12-31,310.10309
2014-03-31,302.0546
2014-06-30,438.60593
2014-09-30,451.4038
2014-12-31,260.45906
2015-03-31,202.06152
2015-06-30,303.96546
2015-09-30,537.12364
2015-12-31,130.75134
2016-03-31,184.49901
2016-06-30,635.73792
2016-09-30,839.82729
2016-12-31,367.14283
2017-03-31,353.88674
2017-06-30,532.12816
2017-09-30,686.10266
2017-12-31,574.43722
2018-03-31,603.87215
2018-06-30,1105.09321
2018-09-30,754.81625
2018-12-31,541.93371
2019-03-31,512.70019
2019-06-30,797.91533
2019-09-30,1029.20709
2019-12-31,684.6405
2020-03-31,745.08878
2020-06-30,497.22505
2020-09-30,744.85838
2020-12-31,814.99166
2021-03-31,602.78244
2021-06-30,741.96882
2021-09-30,973.0021
2021-12-31,579.4798
