date,Net_Gen_By_Fuel_MWh
2001-03-31,216.49428
2001-06-30,220.54935
2001-09-30,220.67883
2001-12-31,232.63025
2002-03-31,61.514
2002-06-30,125.02
2002-09-30,269.991
2002-12-31,193.277
2003-03-31,221.54
2003-06-30,218.14513
2003-09-30,215.81913
2003-12-31,184.61406
2004-03-31,189.78129
2004-06-30,191.93742
2004-09-30,189.76278
2004-12-31,192.10849
2005-03-31,147.45814
2005-06-30,100.00469
2005-09-30,199.43984
2005-12-31,102.82834
2006-03-31,189.01101
2006-06-30,156.87202
2006-09-30,167.952
2006-12-31,201.65718
2007-03-31,176.32576
2007-06-30,190.27372
2007-09-30,164.06506
2007-12-31,135.7396
2008-03-31,102.66945
2008-06-30,135.84186
2008-09-30,131.99183
2008-12-31,87.10407
2009-03-31,94.56944
2009-06-30,119.3212
2009-09-30,104.61204
2009-12-31,137.68311
2010-03-31,122.4129
2010-06-30,169.42291
2010-09-30,154.42167
2010-12-31,112.93464
2011-03-31,98.26603
2011-06-30,135.68758
2011-09-30,91.79272
2011-12-31,113.82346
2012-03-31,79.16878
2012-06-30,97.49796
2012-09-30,99.70481
2012-12-31,99.34267
2013-03-31,165.1115
2013-06-30,143.52023
2013-09-30,154.09562
2013-12-31,216.52617
2014-03-31,178.62144
2014-06-30,90.48841
2014-09-30,131.92757
2014-12-31,132.15962
2015-03-31,190.79098
2015-06-30,171.97331
2015-09-30,210.65153
2015-12-31,214.79975
2016-03-31,165.60666
2016-06-30,176.88758
2016-09-30,208.0232
2016-12-31,176.07876
2017-03-31,142.21646
2017-06-30,136.57255
2017-09-30,218.76394
2017-12-31,134.79656
2018-03-31,152.57836
2018-06-30,196.26553
2018-09-30,161.91264
2018-12-31,132.36955
2019-03-31,133.0603
2019-06-30,111.97709
2019-09-30,174.61519
2019-12-31,153.27902
2020-03-31,150.40312
2020-06-30,164.1608
2020-09-30,127.06474
2020-12-31,163.67228
2021-03-31,81.19894
2021-06-30,64.27296
2021-09-30,88.53757
2021-12-31,82.53814
