date,Net_Gen_By_Fuel_MWh
2001-03-31,12381.745
2001-06-30,11366.215
2001-09-30,13848.288
2001-12-31,11466.094
2002-03-31,10359.732
2002-06-30,11168.295
2002-09-30,14438.595
2002-12-31,12312.463
2003-03-31,13724.466
2003-06-30,11273.72
2003-09-30,14317.964
2003-12-31,12928.087
2004-03-31,14151.33245
2004-06-30,12360.56278
2004-09-30,13727.21146
2004-12-31,11813.66316
2005-03-31,12659.09294
2005-06-30,11631.6809
2005-09-30,15167.19705
2005-12-31,13203.62913
2006-03-31,12240.92858
2006-06-30,11034.9718
2006-09-30,13936.61465
2006-12-31,11744.36462
2007-03-31,12723.69093
2007-06-30,11739.10547
2007-09-30,13569.44586
2007-12-31,12165.68156
2008-03-31,12762.23136
2008-06-30,10905.23739
2008-09-30,12695.92093
2008-12-31,10997.56324
2009-03-31,11757.60501
2009-06-30,10841.73824
2009-09-30,11052.4347
2009-12-31,10123.05404
2010-03-31,10515.27813
2010-06-30,10354.03231
2010-09-30,12725.9841
2010-12-31,10011.96938
2011-03-31,10290.49698
2011-06-30,10665.84027
2011-09-30,11549.87382
2011-12-31,9311.85711
2012-03-31,6745.43993
2012-06-30,9993.36885
2012-09-30,11179.17723
2012-12-31,9891.75755
2013-03-31,8230.87023
2013-06-30,8535.75947
2013-09-30,9839.08712
2013-12-31,9245.09551
2014-03-31,11097.87973
2014-06-30,9585.14187
2014-09-30,9047.60103
2014-12-31,8103.02981
2015-03-31,9264.4263
2015-06-30,9617.39968
2015-09-30,10051.36894
2015-12-31,7432.34892
2016-03-31,8575.33872
2016-06-30,8459.05919
2016-09-30,12187.65934
2016-12-31,7944.63
2017-03-31,7306.78788
2017-06-30,8297.14321
2017-09-30,9794.22093
2017-12-31,8705.92801
2018-03-31,10170.63323
2018-06-30,11220.5079
2018-09-30,12008.95715
2018-12-31,10409.55014
2019-03-31,9864.30583
2019-06-30,9449.24783
2019-09-30,11110.68958
2019-12-31,8901.35204
2020-03-31,8412.64957
2020-06-30,8928.83923
2020-09-30,10134.48458
2020-12-31,8553.17231
2021-03-31,9439.08625
2021-06-30,9304.22842
2021-09-30,11163.15024
2021-12-31,9812.83092
