date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,148.14843
2014-06-30,255.15017
2014-09-30,309.53376
2014-12-31,218.65148
2015-03-31,245.15238
2015-06-30,380.72251
2015-09-30,414.53546
2015-12-31,273.13517
2016-03-31,358.20477
2016-06-30,542.26582
2016-09-30,590.51479
2016-12-31,371.79555
2017-03-31,434.54635
2017-06-30,690.4829
2017-09-30,744.73455
2017-12-31,434.446
2018-03-31,598.59924
2018-06-30,959.17725
2018-09-30,965.42928
2018-12-31,538.41549
2019-03-31,671.85191
2019-06-30,992.63345
2019-09-30,1061.4828
2019-12-31,553.86195
2020-03-31,766.5216
2020-06-30,1172.2193
2020-09-30,1157.93407
2020-12-31,629.42625
2021-03-31,864.33814
2021-06-30,1356.14486
2021-09-30,1279.07213
2021-12-31,805.5045
