date,Net_Gen_By_Fuel_MWh
2001-03-31,556.67923
2001-06-30,572.91774
2001-09-30,630.63845
2001-12-31,601.42644
2002-03-31,541.55905
2002-06-30,535.32421
2002-09-30,597.02743
2002-12-31,546.09593
2003-03-31,644.03553
2003-06-30,580.49312
2003-09-30,650.37439
2003-12-31,622.79023
2004-03-31,603.1237
2004-06-30,576.3599
2004-09-30,703.26697
2004-12-31,675.69776
2005-03-31,602.32956
2005-06-30,610.41397
2005-09-30,666.81825
2005-12-31,614.76119
2006-03-31,608.3384
2006-06-30,600.96371
2006-09-30,626.99882
2006-12-31,606.25764
2007-03-31,565.7768
2007-06-30,602.75499
2007-09-30,634.68341
2007-12-31,613.53164
2008-03-31,637.10839
2008-06-30,662.69073
2008-09-30,634.65487
2008-12-31,656.68711
2009-03-31,629.6805
2009-06-30,635.49253
2009-09-30,630.01545
2009-12-31,727.99569
2010-03-31,738.62161
2010-06-30,741.75645
2010-09-30,680.63644
2010-12-31,671.43733
2011-03-31,714.28525
2011-06-30,710.1899
2011-09-30,718.1042
2011-12-31,819.74528
2012-03-31,887.00796
2012-06-30,878.70987
2012-09-30,877.9025
2012-12-31,1141.81881
2013-03-31,1443.65253
2013-06-30,1371.99638
2013-09-30,1148.01626
2013-12-31,1550.71925
2014-03-31,1841.43586
2014-06-30,1583.19018
2014-09-30,1319.20148
2014-12-31,1930.52436
2015-03-31,1992.50784
2015-06-30,1700.7155
2015-09-30,1422.45258
2015-12-31,2167.28313
2016-03-31,2026.23014
2016-06-30,1544.47164
2016-09-30,1465.87869
2016-12-31,2163.52217
2017-03-31,2116.99256
2017-06-30,2044.95405
2017-09-30,1276.58039
2017-12-31,2310.16712
2018-03-31,2525.91467
2018-06-30,1830.18343
2018-09-30,1482.20952
2018-12-31,2268.13225
2019-03-31,2385.43784
2019-06-30,2142.70438
2019-09-30,1479.53102
2019-12-31,2275.39648
2020-03-31,2455.31534
2020-06-30,1930.9668
2020-09-30,1670.70039
2020-12-31,2934.821
2021-03-31,2859.71822
2021-06-30,2500.54868
2021-09-30,2182.3534
2021-12-31,2994.96235
