date,Net_Gen_By_Fuel_MWh
2001-03-31,2597.34
2001-06-30,3166.425
2001-09-30,3031.344
2001-12-31,2993.918
2002-03-31,3144.681
2002-06-30,3562.126
2002-09-30,3570.881
2002-12-31,3407.136
2003-03-31,3607.615
2003-06-30,2983.511
2003-09-30,3312.648
2003-12-31,3510.054
2004-03-31,3649.845
2004-06-30,3460.61
2004-09-30,3258.77
2004-12-31,2926.277
2005-03-31,2958.765
2005-06-30,2611.949
2005-09-30,3562.296
2005-12-31,3702.209
2006-03-31,3373.175
2006-06-30,3019.323
2006-09-30,3523.507
2006-12-31,3267.413
2007-03-31,3018.288
2007-06-30,2869.556
2007-09-30,3568.884
2007-12-31,3646.272
2008-03-31,3085.983
2008-06-30,3555.355
2008-09-30,3124.07
2008-12-31,3231.43
2009-03-31,3298.21
2009-06-30,2847.833
2009-09-30,3313.486
2009-12-31,2933.896
2010-03-31,3596.162
2010-06-30,2997.413
2010-09-30,3503.687
2010-12-31,3380.784
2011-03-31,3250.003
2011-06-30,2108.763
2011-09-30,3522.628
2011-12-31,3077.131
2012-03-31,3129.342
2012-06-30,2767.096
2012-09-30,3306.581
2012-12-31,2740.771
2013-03-31,3119.911
2013-06-30,2230.465
2013-09-30,2874.965
2013-12-31,2482.376
2014-03-31,3278.343
2014-06-30,3462.697
2014-09-30,3504.263
2014-12-31,2461.863
2015-03-31,3175.079
2015-06-30,2283.373
2015-09-30,3759.542
2015-12-31,2820.612
2016-03-31,3089.705
2016-06-30,3746.084
2016-09-30,3668.827
2016-12-31,3356.2
2017-03-31,3772.544
2017-06-30,3045.728
2017-09-30,3732.03
2017-12-31,3354.049
2018-03-31,3802.732
2018-06-30,3744.92
2018-09-30,3582.188
2018-12-31,3471.489
2019-03-31,3656.341
2019-06-30,3189.078
2019-09-30,3702.958
2019-12-31,3556.17
2020-03-31,3858.04
2020-06-30,3705.542
2020-09-30,3447.062
2020-12-31,3666.644
2021-03-31,3759.131
2021-06-30,3154.623
2021-09-30,3717.533
2021-12-31,3491.484
