date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.41083
2013-06-30,0.69217
2013-09-30,0.81214
2013-12-31,0.79086
2014-03-31,0.43949
2014-06-30,0.78531
2014-09-30,0.82424
2014-12-31,0.60398
2015-03-31,0.53047
2015-06-30,0.81846
2015-09-30,0.81071
2015-12-31,0.62935
2016-03-31,1.25072
2016-06-30,2.11685
2016-09-30,2.80813
2016-12-31,3.93129
2017-03-31,103.90775
2017-06-30,186.04005
2017-09-30,208.21284
2017-12-31,97.96356
2018-03-31,194.39884
2018-06-30,358.51156
2018-09-30,349.04678
2018-12-31,140.06367
2019-03-31,174.26088
2019-06-30,437.67139
2019-09-30,449.04604
2019-12-31,187.85467
2020-03-31,289.20568
2020-06-30,560.7699
2020-09-30,539.20201
2020-12-31,244.46266
2021-03-31,369.4756
2021-06-30,602.63254
2021-09-30,581.96037
2021-12-31,368.10923
