date,Net_Gen_By_Fuel_MWh
2001-03-31,4360.311
2001-06-30,4589.047
2001-09-30,4788.056
2001-12-31,5458.65
2002-03-31,1970.927
2002-06-30,3817.925
2002-09-30,4478.805
2002-12-31,4585.488
2003-03-31,3440.267
2003-06-30,4439.808
2003-09-30,4867.517
2003-12-31,4335.011
2004-03-31,4265.00379
2004-06-30,4147.48152
2004-09-30,4941.38054
2004-12-31,4123.8224
2005-03-31,4408.21481
2005-06-30,4450.80016
2005-09-30,4212.43905
2005-12-31,3564.42965
2006-03-31,4136.67517
2006-06-30,4101.13326
2006-09-30,4955.78373
2006-12-31,4911.74096
2007-03-31,4364.87392
2007-06-30,4577.33512
2007-09-30,4691.28
2007-12-31,3773.8356
2008-03-31,4329.16306
2008-06-30,4673.36605
2008-09-30,4548.74572
2008-12-31,3132.12756
2009-03-31,2561.27572
2009-06-30,3230.93517
2009-09-30,3998.24626
2009-12-31,3167.20499
2010-03-31,3141.94779
2010-06-30,3260.861
2010-09-30,4243.5246
2010-12-31,2982.66358
2011-03-31,2097.84763
2011-06-30,2815.71716
2011-09-30,3043.9717
2011-12-31,1765.57431
2012-03-31,1461.73869
2012-06-30,1852.54099
2012-09-30,2511.70012
2012-12-31,1385.99306
2013-03-31,1714.01268
2013-06-30,2283.3132
2013-09-30,2798.92893
2013-12-31,1905.04028
2014-03-31,2744.48676
2014-06-30,2977.29611
2014-09-30,3390.68926
2014-12-31,1630.09371
2015-03-31,1874.97054
2015-06-30,1655.59584
2015-09-30,2168.75299
2015-12-31,700.28586
2016-03-31,1313.82585
2016-06-30,938.35056
2016-09-30,1884.56734
2016-12-31,1205.28227
2017-03-31,1152.89469
2017-06-30,1195.09606
2017-09-30,1216.34581
2017-12-31,1063.893
2018-03-31,990.47171
2018-06-30,1430.24833
2018-09-30,1411.95625
2018-12-31,1447.36709
2019-03-31,861.47475
2019-06-30,1549.80225
2019-09-30,1478.628
2019-12-31,524.43495
2020-03-31,961.86012
2020-06-30,1091.70676
2020-09-30,1701.90707
2020-12-31,838.05058
2021-03-31,1558.79982
2021-06-30,1405.07232
2021-09-30,1434.84651
2021-12-31,1131.969
