date,Net_Gen_By_Fuel_MWh
2001-03-31,323.847
2001-06-30,337.833
2001-09-30,308.189
2001-12-31,134.265
2002-03-31,300.761
2002-06-30,780.602
2002-09-30,188.093
2002-12-31,87.471
2003-03-31,132.128
2003-06-30,200.589
2003-09-30,191.341
2003-12-31,128.419
2004-03-31,357.27759
2004-06-30,460.24652
2004-09-30,269.47874
2004-12-31,392.91105
2005-03-31,623.83307
2005-06-30,269.39554
2005-09-30,199.04242
2005-12-31,67.05497
2006-03-31,29.73191
2006-06-30,68.48509
2006-09-30,79.16479
2006-12-31,21.83221
2007-03-31,282.99518
2007-06-30,480.83643
2007-09-30,378.22883
2007-12-31,62.26556
2008-03-31,437.4672
2008-06-30,772.8172
2008-09-30,624.23543
2008-12-31,212.25318
2009-03-31,292.76063
2009-06-30,738.66064
2009-09-30,197.13064
2009-12-31,588.14109
2010-03-31,541.83467
2010-06-30,541.13552
2010-09-30,324.58914
2010-12-31,131.78767
2011-03-31,323.76765
2011-06-30,568.14201
2011-09-30,157.62195
2011-12-31,135.6124
2012-03-31,304.5182
2012-06-30,304.06569
2012-09-30,61.09291
2012-12-31,44.59219
2013-03-31,137.33337
2013-06-30,605.84641
2013-09-30,263.88825
2013-12-31,129.35898
2014-03-31,192.32392
2014-06-30,196.39993
2014-09-30,146.06341
2014-12-31,162.54876
2015-03-31,179.3509
2015-06-30,532.23672
2015-09-30,526.96693
2015-12-31,356.46546
2016-03-31,585.93175
2016-06-30,277.98313
2016-09-30,279.72058
2016-12-31,124.83754
2017-03-31,257.47366
2017-06-30,380.43262
2017-09-30,275.35176
2017-12-31,268.32197
2018-03-31,157.96747
2018-06-30,186.62008
2018-09-30,201.44453
2018-12-31,282.35993
2019-03-31,614.82281
2019-06-30,750.4418
2019-09-30,409.11652
2019-12-31,441.61687
2020-03-31,621.61903
2020-06-30,592.57858
2020-09-30,352.32057
2020-12-31,312.88683
2021-03-31,472.14465
2021-06-30,463.63855
2021-09-30,477.94407
2021-12-31,436.46395
