date,Net_Gen_By_Fuel_MWh
2001-03-31,9.39793
2001-06-30,11.83933
2001-09-30,16.54139
2001-12-31,15.85146
2002-03-31,12.317
2002-06-30,8.111
2002-09-30,16.297
2002-12-31,20.917
2003-03-31,24.04895
2003-06-30,27.054
2003-09-30,40.60888
2003-12-31,32.124
2004-03-31,29.24935
2004-06-30,25.65802
2004-09-30,28.91427
2004-12-31,26.55544
2005-03-31,14.37653
2005-06-30,13.30461
2005-09-30,22.09389
2005-12-31,19.96215
2006-03-31,14.70452
2006-06-30,14.741
2006-09-30,13.09236
2006-12-31,11.26194
2007-03-31,8.06869
2007-06-30,10.33094
2007-09-30,10.17243
2007-12-31,8.11258
2008-03-31,3.94067
2008-06-30,4.46883
2008-09-30,5.25696
2008-12-31,10.54139
2009-03-31,7.85225
2009-06-30,4.8028
2009-09-30,7.90878
2009-12-31,6.85877
2010-03-31,5.18773
2010-06-30,7.82429
2010-09-30,10.7542
2010-12-31,8.58043
2011-03-31,5.21366
2011-06-30,7.42146
2011-09-30,5.82993
2011-12-31,2.92171
2012-03-31,4.5487
2012-06-30,5.85254
2012-09-30,5.31289
2012-12-31,4.04983
2013-03-31,5.02217
2013-06-30,2.94386
2013-09-30,2.48419
2013-12-31,5.73997
2014-03-31,4.95785
2014-06-30,3.52855
2014-09-30,15.74518
2014-12-31,2.08323
2015-03-31,15.3448
2015-06-30,13.70243
2015-09-30,16.59899
2015-12-31,11.91757
2016-03-31,5.58985
2016-06-30,1.14649
2016-09-30,1.40138
2016-12-31,0.84148
2017-03-31,0.79631
2017-06-30,0.0829
2017-09-30,1.50692
2017-12-31,1.26062
2018-03-31,0.82119
2018-06-30,0.06085
2018-09-30,0.06416
2018-12-31,0.0619
2019-03-31,0.02117
2019-06-30,0.02217
2019-09-30,0.0221
2019-12-31,0.02358
2020-03-31,0.0
2020-06-30,0.0
2020-09-30,0.0
2020-12-31,0.071
2021-03-31,0.0
2021-06-30,0.0
2021-09-30,0.0
2021-12-31,0.0
