date,Net_Gen_By_Fuel_MWh
2001-03-31,32.834
2001-06-30,83.728
2001-09-30,170.793
2001-12-31,61.375
2002-03-31,35.99
2002-06-30,99.077
2002-09-30,213.853
2002-12-31,64.218
2003-03-31,30.762
2003-06-30,78.86
2003-09-30,227.526
2003-12-31,43.93
2004-03-31,43.15182
2004-06-30,123.35508
2004-09-30,91.65294
2004-12-31,39.23018
2005-03-31,105.96625
2005-06-30,212.56125
2005-09-30,362.74044
2005-12-31,121.71528
2006-03-31,59.52267
2006-06-30,159.87306
2006-09-30,415.95771
2006-12-31,123.44779
2007-03-31,310.4117
2007-06-30,175.74001
2007-09-30,558.29154
2007-12-31,65.5771
2008-03-31,115.15909
2008-06-30,78.56232
2008-09-30,379.39097
2008-12-31,185.37458
2009-03-31,37.23956
2009-06-30,73.10921
2009-09-30,146.75761
2009-12-31,54.47471
2010-03-31,32.90977
2010-06-30,73.31614
2010-09-30,240.99512
2010-12-31,27.81429
2011-03-31,41.63707
2011-06-30,60.5733
2011-09-30,301.73581
2011-12-31,21.94861
2012-03-31,16.21128
2012-06-30,233.48608
2012-09-30,491.91338
2012-12-31,28.4897
2013-03-31,15.98992
2013-06-30,71.78194
2013-09-30,284.91955
2013-12-31,63.95392
2014-03-31,29.06231
2014-06-30,160.87209
2014-09-30,136.43114
2014-12-31,79.34696
2015-03-31,0.0
2015-06-30,104.99539
2015-09-30,252.61959
2015-12-31,34.64219
2016-03-31,27.99773
2016-06-30,184.7909
2016-09-30,200.71781
2016-12-31,124.40332
2017-03-31,77.97647
2017-06-30,127.25443
2017-09-30,323.1192
2017-12-31,101.004
2018-03-31,97.57093
2018-06-30,298.29897
2018-09-30,330.78767
2018-12-31,238.13236
2019-03-31,161.99392
2019-06-30,430.95179
2019-09-30,529.80373
2019-12-31,154.10613
2020-03-31,291.32757
2020-06-30,264.02985
2020-09-30,418.76471
2020-12-31,234.58708
2021-03-31,0.0
2021-06-30,415.20198
2021-09-30,630.8889
2021-12-31,322.03299
