date,Net_Gen_By_Fuel_MWh
2001-03-31,5.045
2001-06-30,5.411
2001-09-30,4.167
2001-12-31,4.67
2002-03-31,5.642
2002-06-30,5.579
2002-09-30,5.084
2002-12-31,4.767
2003-03-31,23.82
2003-06-30,21.081
2003-09-30,25.417
2003-12-31,24.344
2004-03-31,19.48714
2004-06-30,19.48716
2004-09-30,19.48717
2004-12-31,19.48714
2005-03-31,14.59518
2005-06-30,19.58214
2005-09-30,18.16125
2005-12-31,86.91527
2006-03-31,84.05087
2006-06-30,73.25419
2006-09-30,69.80999
2006-12-31,86.14555
2007-03-31,82.45621
2007-06-30,66.77405
2007-09-30,57.05854
2007-12-31,71.73547
2008-03-31,70.94927
2008-06-30,68.52332
2008-09-30,59.1842
2008-12-31,76.45589
2009-03-31,93.81582
2009-06-30,118.87506
2009-09-30,106.61735
2009-12-31,129.52121
2010-03-31,122.51399
2010-06-30,122.47295
2010-09-30,106.54356
2010-12-31,141.62261
2011-03-31,260.9699
2011-06-30,304.533
2011-09-30,191.34096
2011-12-31,359.46063
2012-03-31,367.19301
2012-06-30,326.41646
2012-09-30,262.04816
2012-12-31,391.10404
2013-03-31,469.56388
2013-06-30,446.13501
2013-09-30,376.78443
2013-12-31,576.55543
2014-03-31,619.7678
2014-06-30,664.98992
2014-09-30,552.23537
2014-12-31,964.13118
2015-03-31,910.09868
2015-06-30,745.20381
2015-09-30,674.08652
2015-12-31,922.02734
2016-03-31,988.01795
2016-06-30,938.45161
2016-09-30,745.80829
2016-12-31,1227.90745
2017-03-31,1417.15444
2017-06-30,1300.62475
2017-09-30,952.39981
2017-12-31,1526.44961
2018-03-31,1572.40077
2018-06-30,1379.19187
2018-09-30,1160.36665
2018-12-31,1557.57175
2019-03-31,1710.3867
2019-06-30,1772.85672
2019-09-30,1572.85866
2019-12-31,2271.2146
2020-03-31,2255.58381
2020-06-30,2163.34329
2020-09-30,2208.13663
2020-12-31,2631.58717
2021-03-31,2331.94597
2021-06-30,2436.65104
2021-09-30,2096.53423
2021-12-31,3000.57588
