date,Net_Gen_By_Fuel_MWh
2001-03-31,743.966
2001-06-30,790.149
2001-09-30,615.709
2001-12-31,363.898
2002-03-31,432.118
2002-06-30,771.822
2002-09-30,602.01
2002-12-31,461.638
2003-03-31,599.463
2003-06-30,623.467
2003-09-30,307.054
2003-12-31,226.721
2004-03-31,298.94385
2004-06-30,655.56916
2004-09-30,362.52973
2004-12-31,298.08039
2005-03-31,225.20856
2005-06-30,586.30205
2005-09-30,529.15531
2005-12-31,361.71408
2006-03-31,409.14187
2006-06-30,660.69055
2006-09-30,493.12003
2006-12-31,494.67354
2007-03-31,692.99175
2007-06-30,701.24209
2007-09-30,468.87589
2007-12-31,140.08128
2008-03-31,282.71349
2008-06-30,647.4594
2008-09-30,534.74371
2008-12-31,285.7034
2009-03-31,464.28345
2009-06-30,731.48998
2009-09-30,616.82749
2009-12-31,647.99385
2010-03-31,522.33001
2010-06-30,682.12345
2010-09-30,584.10703
2010-12-31,368.73551
2011-03-31,536.42456
2011-06-30,669.55894
2011-09-30,600.74071
2011-12-31,383.85882
2012-03-31,522.94494
2012-06-30,827.8294
2012-09-30,668.68918
2012-12-31,420.9515
2013-03-31,591.35819
2013-06-30,915.19007
2013-09-30,666.70919
2013-12-31,508.68556
2014-03-31,657.15477
2014-06-30,815.11181
2014-09-30,538.94363
2014-12-31,377.7898
2015-03-31,684.86618
2015-06-30,650.29341
2015-09-30,468.72151
2015-12-31,460.2549
2016-03-31,362.52152
2016-06-30,626.28378
2016-09-30,413.88391
2016-12-31,386.52979
2017-03-31,297.19743
2017-06-30,529.06295
2017-09-30,460.26536
2017-12-31,526.17461
2018-03-31,438.51859
2018-06-30,675.97675
2018-09-30,470.82494
2018-12-31,295.94573
2019-03-31,564.48906
2019-06-30,760.68689
2019-09-30,570.7438
2019-12-31,346.13726
2020-03-31,350.99027
2020-06-30,643.23403
2020-09-30,533.12403
2020-12-31,396.01767
2021-03-31,454.8922
2021-06-30,706.48572
2021-09-30,528.46382
2021-12-31,261.89848
