date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,197.40501
2014-06-30,306.53009
2014-09-30,328.59957
2014-12-31,284.67209
2015-03-31,373.20091
2015-06-30,543.07745
2015-09-30,520.7804
2015-12-31,406.58342
2016-03-31,651.47544
2016-06-30,939.46357
2016-09-30,1094.37898
2016-12-31,810.89045
2017-03-31,823.46908
2017-06-30,1387.67718
2017-09-30,1357.39417
2017-12-31,989.3324
2018-03-31,968.87929
2018-06-30,1651.82512
2018-09-30,1594.62135
2018-12-31,999.64086
2019-03-31,1026.43832
2019-06-30,1604.25113
2019-09-30,1711.44067
2019-12-31,1148.87916
2020-03-31,1310.26297
2020-06-30,1905.61952
2020-09-30,1919.71004
2020-12-31,1271.56704
2021-03-31,1397.69634
2021-06-30,2305.06373
2021-09-30,2421.07935
2021-12-31,1593.768
