date,Net_Gen_By_Fuel_MWh
2001-03-31,104.61427
2001-06-30,116.55451
2001-09-30,117.5577
2001-12-31,120.65843
2002-03-31,117.99312
2002-06-30,122.45992
2002-09-30,126.67268
2002-12-31,127.62952
2003-03-31,120.2352
2003-06-30,129.26953
2003-09-30,129.8712
2003-12-31,122.92964
2004-03-31,116.0382
2004-06-30,128.79587
2004-09-30,126.93323
2004-12-31,124.60204
2005-03-31,123.14821
2005-06-30,138.24647
2005-09-30,140.39633
2005-12-31,135.81792
2006-03-31,138.39183
2006-06-30,145.15215
2006-09-30,142.98041
2006-12-31,142.02682
2007-03-31,114.14835
2007-06-30,118.30678
2007-09-30,129.9429
2007-12-31,126.59609
2008-03-31,133.51663
2008-06-30,140.69969
2008-09-30,144.98489
2008-12-31,140.18853
2009-03-31,124.64223
2009-06-30,130.05651
2009-09-30,136.09883
2009-12-31,129.51007
2010-03-31,134.10111
2010-06-30,149.6584
2010-09-30,146.40257
2010-12-31,145.09255
2011-03-31,151.25816
2011-06-30,153.7747
2011-09-30,169.03037
2011-12-31,169.50987
2012-03-31,156.77861
2012-06-30,163.64995
2012-09-30,166.70782
2012-12-31,145.41436
2013-03-31,143.98798
2013-06-30,152.80943
2013-09-30,163.32621
2013-12-31,164.95993
2014-03-31,142.79406
2014-06-30,157.67411
2014-09-30,168.69927
2014-12-31,170.96638
2015-03-31,125.33834
2015-06-30,139.5144
2015-09-30,155.19134
2015-12-31,162.44886
2016-03-31,148.42729
2016-06-30,148.64256
2016-09-30,151.42116
2016-12-31,158.47473
2017-03-31,151.41259
2017-06-30,127.09304
2017-09-30,148.35622
2017-12-31,156.12352
2018-03-31,139.73337
2018-06-30,135.66291
2018-09-30,132.36676
2018-12-31,144.15569
2019-03-31,144.21404
2019-06-30,150.50853
2019-09-30,157.84012
2019-12-31,163.16273
2020-03-31,150.21401
2020-06-30,140.26587
2020-09-30,147.30579
2020-12-31,152.28173
2021-03-31,158.24713
2021-06-30,147.92604
2021-09-30,139.75501
2021-12-31,144.36951
