date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,1.83325
2006-06-30,4.73986
2006-09-30,3.46739
2006-12-31,5.9505
2007-03-31,7.2746
2007-06-30,4.50218
2007-09-30,3.3637
2007-12-31,5.27151
2008-03-31,4.84959
2008-06-30,5.68789
2008-09-30,3.5209
2008-12-31,6.82664
2009-03-31,4.8189
2009-06-30,5.33525
2009-09-30,3.79135
2009-12-31,6.97251
2010-03-31,3.5489
2010-06-30,2.85121
2010-09-30,2.41911
2010-12-31,3.83378
2011-03-31,3.20023
2011-06-30,2.53904
2011-09-30,1.61616
2011-12-31,3.16756
2012-03-31,3.77141
2012-06-30,2.52223
2012-09-30,1.73932
2012-12-31,3.53505
2013-03-31,3.32829
2013-06-30,2.75958
2013-09-30,1.485
2013-12-31,3.30413
2014-03-31,7.14907
2014-06-30,5.18493
2014-09-30,3.59534
2014-12-31,6.92567
2015-03-31,7.01397
2015-06-30,5.04593
2015-09-30,2.87558
2015-12-31,6.60353
2016-03-31,6.90695
2016-06-30,4.061
2016-09-30,3.13671
2016-12-31,6.73636
2017-03-31,6.28621
2017-06-30,6.02009
2017-09-30,4.14199
2017-12-31,5.99873
2018-03-31,6.8857
2018-06-30,5.35413
2018-09-30,4.03575
2018-12-31,6.32042
2019-03-31,6.6621
2019-06-30,5.40315
2019-09-30,3.70604
2019-12-31,6.22473
2020-03-31,5.79724
2020-06-30,5.43148
2020-09-30,3.19263
2020-12-31,5.59267
2021-03-31,6.65382
2021-06-30,4.83256
2021-09-30,3.24002
2021-12-31,5.54489
