date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.71153
2008-06-30,0.82563
2008-09-30,0.71966
2008-12-31,0.79218
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.183
2013-06-30,0.16455
2013-09-30,0.18834
2013-12-31,0.18011
2014-03-31,0.20535
2014-06-30,0.15726
2014-09-30,0.14692
2014-12-31,0.15547
2015-03-31,0.14175
2015-06-30,0.13639
2015-09-30,0.19842
2015-12-31,0.18846
2016-03-31,0.0687
2016-06-30,0.06732
2016-09-30,0.06471
2016-12-31,0.07827
2017-03-31,-0.172
2017-06-30,-0.079
2017-09-30,-0.164
2017-12-31,-0.172
2018-03-31,-0.174
2018-06-30,-0.17
2018-09-30,-0.177
2018-12-31,-0.21
2019-03-31,-0.299
2019-06-30,-0.216
2019-09-30,-0.186
2019-12-31,-0.099
2020-03-31,-0.236
2020-06-30,-0.36
2020-09-30,-0.067
2020-12-31,-0.099
2021-03-31,-0.179
2021-06-30,-0.076
2021-09-30,-0.041
2021-12-31,-0.05
