date,Net_Gen_By_Fuel_MWh
2001-03-31,559.319
2001-06-30,610.194
2001-09-30,777.84
2001-12-31,648.353
2002-03-31,729.372
2002-06-30,626.938
2002-09-30,727.299
2002-12-31,1408.439
2003-03-31,1695.066
2003-06-30,2082.506
2003-09-30,1889.63
2003-12-31,1533.741
2004-03-31,1278.1338
2004-06-30,725.61956
2004-09-30,1433.49489
2004-12-31,1997.95109
2005-03-31,1499.00061
2005-06-30,1329.51545
2005-09-30,1391.86114
2005-12-31,1176.12482
2006-03-31,1130.4413
2006-06-30,649.10653
2006-09-30,885.76147
2006-12-31,1173.70272
2007-03-31,1357.23616
2007-06-30,764.85818
2007-09-30,569.03524
2007-12-31,293.02896
2008-03-31,849.61305
2008-06-30,741.41798
2008-09-30,725.77576
2008-12-31,716.83566
2009-03-31,1059.70823
2009-06-30,1304.07582
2009-09-30,924.02591
2009-12-31,1883.44659
2010-03-31,2001.90648
2010-06-30,986.63552
2010-09-30,767.44833
2010-12-31,1000.55871
2011-03-31,1079.65619
2011-06-30,988.43784
2011-09-30,747.49968
2011-12-31,1077.80231
2012-03-31,1199.70687
2012-06-30,847.98263
2012-09-30,789.98001
2012-12-31,890.26871
2013-03-31,1973.329
2013-06-30,1747.61518
2013-09-30,1751.17542
2013-12-31,1428.4129
2014-03-31,1739.33138
2014-06-30,1058.53217
2014-09-30,987.70895
2014-12-31,970.51073
2015-03-31,1087.55498
2015-06-30,895.87492
2015-09-30,788.22153
2015-12-31,1970.35257
2016-03-31,2287.96092
2016-06-30,770.90111
2016-09-30,768.56275
2016-12-31,589.76122
2017-03-31,657.38096
2017-06-30,1519.65482
2017-09-30,833.71189
2017-12-31,807.26934
2018-03-31,1296.70441
2018-06-30,1533.46498
2018-09-30,1550.29556
2018-12-31,2224.96404
2019-03-31,2221.69716
2019-06-30,1843.41356
2019-09-30,952.86122
2019-12-31,1167.77387
2020-03-31,2846.54831
2020-06-30,1799.202
2020-09-30,1572.03343
2020-12-31,1739.70827
2021-03-31,2048.91196
2021-06-30,1834.68301
2021-09-30,1881.04974
2021-12-31,1831.78657
