date,Net_Gen_By_Fuel_MWh
2001-03-31,420.57101
2001-06-30,408.72705
2001-09-30,449.79685
2001-12-31,472.1948
2002-03-31,479.08497
2002-06-30,445.8735
2002-09-30,413.69129
2002-12-31,447.60326
2003-03-31,508.35425
2003-06-30,473.34746
2003-09-30,491.72656
2003-12-31,502.28714
2004-03-31,433.00817
2004-06-30,468.90656
2004-09-30,405.82378
2004-12-31,425.0633
2005-03-31,438.35651
2005-06-30,431.19025
2005-09-30,476.34917
2005-12-31,461.25231
2006-03-31,469.80441
2006-06-30,424.98508
2006-09-30,469.87028
2006-12-31,463.64562
2007-03-31,397.79339
2007-06-30,416.01579
2007-09-30,418.18635
2007-12-31,440.2232
2008-03-31,503.65925
2008-06-30,444.306
2008-09-30,465.08424
2008-12-31,509.16302
2009-03-31,484.14484
2009-06-30,506.82721
2009-09-30,473.64986
2009-12-31,428.782
2010-03-31,457.11358
2010-06-30,503.39271
2010-09-30,568.77372
2010-12-31,553.86181
2011-03-31,560.31016
2011-06-30,545.15357
2011-09-30,658.04549
2011-12-31,581.97525
2012-03-31,623.52855
2012-06-30,626.72675
2012-09-30,696.27193
2012-12-31,757.3921
2013-03-31,724.19196
2013-06-30,744.10733
2013-09-30,777.60154
2013-12-31,708.94941
2014-03-31,820.49733
2014-06-30,804.62797
2014-09-30,923.95065
2014-12-31,726.75533
2015-03-31,799.76648
2015-06-30,989.15843
2015-09-30,1109.6607
2015-12-31,1064.36539
2016-03-31,1271.13797
2016-06-30,1572.92989
2016-09-30,1736.28358
2016-12-31,1402.91927
2017-03-31,1839.27261
2017-06-30,2296.72716
2017-09-30,2298.71889
2017-12-31,1962.39566
2018-03-31,2150.33097
2018-06-30,2721.91071
2018-09-30,2445.628
2018-12-31,1944.89416
2019-03-31,2256.85441
2019-06-30,2973.51464
2019-09-30,2970.94188
2019-12-31,2322.32619
2020-03-31,2438.7229
2020-06-30,3359.39152
2020-09-30,3023.74073
2020-12-31,2459.25432
2021-03-31,2583.08071
2021-06-30,3735.14856
2021-09-30,3535.40931
2021-12-31,2707.58458
