date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,1.801
2009-03-31,0.58723
2009-06-30,1.62671
2009-09-30,1.70443
2009-12-31,0.6449
2010-03-31,1.2737
2010-06-30,3.43048
2010-09-30,3.32835
2010-12-31,3.30752
2011-03-31,5.90316
2011-06-30,4.29314
2011-09-30,3.84984
2011-12-31,3.33432
2012-03-31,8.64458
2012-06-30,17.66097
2012-09-30,25.006
2012-12-31,88.17921
2013-03-31,51.54067
2013-06-30,86.42635
2013-09-30,101.13849
2013-12-31,105.55728
2014-03-31,127.64219
2014-06-30,198.24709
2014-09-30,212.26079
2014-12-31,190.98041
2015-03-31,210.46769
2015-06-30,420.91793
2015-09-30,431.47588
2015-12-31,310.71708
2016-03-31,691.25737
2016-06-30,884.91844
2016-09-30,1111.26857
2016-12-31,733.68331
2017-03-31,1022.58953
2017-06-30,1492.34162
2017-09-30,1489.81839
2017-12-31,1109.36832
2018-03-31,1272.56408
2018-06-30,1938.0593
2018-09-30,1740.39388
2018-12-31,1159.36055
2019-03-31,1467.98949
2019-06-30,2204.69986
2019-09-30,2269.87629
2019-12-31,1508.77235
2020-03-31,1610.78916
2020-06-30,2594.52086
2020-09-30,2371.83501
2020-12-31,1696.60771
2021-03-31,1853.33151
2021-06-30,3092.94921
2021-09-30,2938.48161
2021-12-31,2037.28937
