date,Net_Gen_By_Fuel_MWh
2001-03-31,115.253
2001-06-30,203.134
2001-09-30,504.416
2001-12-31,101.614
2002-03-31,115.208
2002-06-30,337.895
2002-09-30,1184.699
2002-12-31,128.852
2003-03-31,244.233
2003-06-30,287.108
2003-09-30,1128.036
2003-12-31,134.205
2004-03-31,183.26836
2004-06-30,587.67517
2004-09-30,529.29446
2004-12-31,90.75679
2005-03-31,326.94277
2005-06-30,677.42111
2005-09-30,1496.20067
2005-12-31,195.06355
2006-03-31,98.82582
2006-06-30,382.81637
2006-09-30,1372.78283
2006-12-31,524.63663
2007-03-31,419.98882
2007-06-30,874.59696
2007-09-30,1962.28144
2007-12-31,718.03007
2008-03-31,449.61939
2008-06-30,488.84848
2008-09-30,1226.07211
2008-12-31,319.85114
2009-03-31,849.27838
2009-06-30,1036.89275
2009-09-30,2029.24593
2009-12-31,735.03867
2010-03-31,489.25155
2010-06-30,1411.08848
2010-09-30,2801.43461
2010-12-31,2426.08478
2011-03-31,2885.97081
2011-06-30,2345.07335
2011-09-30,3596.77174
2011-12-31,3509.76122
2012-03-31,5986.79707
2012-06-30,5732.5702
2012-09-30,6039.86202
2012-12-31,4906.1557
2013-03-31,5855.48818
2013-06-30,4987.00194
2013-09-30,5390.45402
2013-12-31,5461.26721
2014-03-31,5995.23186
2014-06-30,5621.90681
2014-09-30,6958.61607
2014-12-31,5060.69026
2015-03-31,7684.7861
2015-06-30,6314.63537
2015-09-30,7644.14749
2015-12-31,6390.14717
2016-03-31,8130.23569
2016-06-30,5993.83095
2016-09-30,8213.98233
2016-12-31,6604.34792
2017-03-31,6564.82473
2017-06-30,5952.26831
2017-09-30,7820.59082
2017-12-31,8461.82766
2018-03-31,10476.91208
2018-06-30,9685.43748
2018-09-30,11770.3838
2018-12-31,12281.7686
2019-03-31,13263.52194
2019-06-30,12036.26689
2019-09-30,13838.80024
2019-12-31,12186.86486
2020-03-31,14500.02498
2020-06-30,11874.73747
2020-09-30,13893.57182
2020-12-31,12113.25836
2021-03-31,13587.80558
2021-06-30,11890.40914
2021-09-30,13467.69726
2021-12-31,15210.53386
