date,Net_Gen_By_Fuel_MWh
2001-03-31,12331.026
2001-06-30,12995.112
2001-09-30,17224.003
2001-12-31,12699.312
2002-03-31,13382.613
2002-06-30,14825.343
2002-09-30,18576.203
2002-12-31,12399.261
2003-03-31,13285.991
2003-06-30,14869.821
2003-09-30,19187.475
2003-12-31,13283.569
2004-03-31,14010.98427
2004-06-30,14614.33273
2004-09-30,18778.59048
2004-12-31,13325.65298
2005-03-31,14580.67298
2005-06-30,17068.20216
2005-09-30,22148.75706
2005-12-31,14810.19497
2006-03-31,14924.34811
2006-06-30,18816.59306
2006-09-30,21276.25136
2006-12-31,15597.68765
2007-03-31,16819.87968
2007-06-30,17709.62935
2007-09-30,22313.46656
2007-12-31,15976.11951
2008-03-31,17493.8611
2008-06-30,18592.88325
2008-09-30,22146.38356
2008-12-31,18095.78054
2009-03-31,18135.2201
2009-06-30,19118.47349
2009-09-30,21684.0068
2009-12-31,16129.10888
2010-03-31,16633.2342
2010-06-30,17615.10398
2010-09-30,23248.13793
2010-12-31,14754.25702
2011-03-31,16566.61729
2011-06-30,19019.99684
2011-09-30,23750.35912
2011-12-31,15268.74038
2012-03-31,17633.51909
2012-06-30,21322.25908
2012-09-30,23622.84367
2012-12-31,15317.96628
2013-03-31,16316.18845
2013-06-30,18566.41894
2013-09-30,21784.19694
2013-12-31,17006.87596
2014-03-31,17769.42219
2014-06-30,17420.03267
2014-09-30,19324.77254
2014-12-31,15641.27691
2015-03-31,18294.94201
2015-06-30,17943.865
2015-09-30,21919.59672
2015-12-31,17977.19217
2016-03-31,17562.31882
2016-06-30,18692.08125
2016-09-30,22932.99859
2016-12-31,19467.60853
2017-03-31,16785.26241
2017-06-30,17929.8146
2017-09-30,21185.30033
2017-12-31,17831.27664
2018-03-31,19355.3285
2018-06-30,23562.11969
2018-09-30,24628.72306
2018-12-31,18677.54934
2019-03-31,19843.4466
2019-06-30,19867.08042
2019-09-30,25964.41015
2019-12-31,19541.56395
2020-03-31,20123.30847
2020-06-30,20541.18365
2020-09-30,23668.57426
2020-12-31,17964.76531
2021-03-31,19407.5022
2021-06-30,18943.76962
2021-09-30,23632.98634
2021-12-31,18579.86618
