date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,0.42828
2014-06-30,0.55948
2014-09-30,0.66929
2014-12-31,0.57773
2015-03-31,0.64135
2015-06-30,0.85353
2015-09-30,1.6073
2015-12-31,1.56553
2016-03-31,2.08261
2016-06-30,2.69448
2016-09-30,2.70661
2016-12-31,1.90905
2017-03-31,3.48999
2017-06-30,12.65023
2017-09-30,12.92075
2017-12-31,9.2507
2018-03-31,15.51239
2018-06-30,22.23753
2018-09-30,20.93327
2018-12-31,14.07586
2019-03-31,14.88298
2019-06-30,23.86918
2019-09-30,24.36825
2019-12-31,16.02139
2020-03-31,16.80326
2020-06-30,24.98352
2020-09-30,33.01286
2020-12-31,18.17206
2021-03-31,25.79927
2021-06-30,38.95077
2021-09-30,41.3297
2021-12-31,28.19622
