date,Net_Gen_By_Fuel_MWh
2001-03-31,8121.892
2001-06-30,7826.256
2001-09-30,5591.01
2001-12-31,7105.394
2002-03-31,9194.065
2002-06-30,10279.438
2002-09-30,7451.292
2002-12-31,7488.371
2003-03-31,9008.283
2003-06-30,10072.509
2003-09-30,6357.256
2003-12-31,7812.283
2004-03-31,9234.9381
2004-06-30,8860.852
2004-09-30,6644.49676
2004-12-31,8340.53205
2005-03-31,8646.09681
2005-06-30,8497.11134
2005-09-30,5931.79673
2005-12-31,7873.34013
2006-03-31,11533.34772
2006-06-30,12176.04533
2006-09-30,6500.5635
2006-12-31,7640.34071
2007-03-31,10646.9214
2007-06-30,9641.44474
2007-09-30,5875.88112
2007-12-31,7423.19223
2008-03-31,9345.30349
2008-06-30,10445.86464
2008-09-30,6487.01439
2008-12-31,7526.8416
2009-03-31,9306.09394
2009-06-30,10820.99121
2009-09-30,5509.29776
2009-12-31,7397.12994
2010-03-31,7700.82982
2010-06-30,8936.73886
2010-09-30,5942.63494
2010-12-31,7962.05638
2011-03-31,12506.39435
2011-06-30,12384.84928
2011-09-30,9058.14238
2011-12-31,8365.435
2012-03-31,10255.56983
2012-06-30,11948.25426
2012-09-30,8696.60662
2012-12-31,8509.7477
2013-03-31,9280.27491
2013-06-30,9680.17603
2013-09-30,6497.21564
2013-12-31,7640.00043
2014-03-31,9865.27994
2014-06-30,10511.88228
2014-09-30,6605.18745
2014-12-31,8279.58633
2015-03-31,11893.74151
2015-06-30,6707.56702
2015-09-30,5281.02941
2015-12-31,7371.51307
2016-03-31,10964.17008
2016-06-30,9561.13534
2016-09-30,5476.91688
2016-12-31,8547.14405
2017-03-31,11465.56398
2017-06-30,12291.17196
2017-09-30,6957.02729
2017-12-31,7580.17477
2018-03-31,11112.82642
2018-06-30,10954.42927
2018-09-30,6366.54262
2018-12-31,7008.97469
2019-03-31,8406.52111
2019-06-30,9285.88849
2019-09-30,5697.5697
2019-12-31,6932.02372
2020-03-31,8842.91161
2020-06-30,8740.37855
2020-09-30,7099.96682
2020-12-31,7237.386
2021-03-31,8697.35282
2021-06-30,6562.67576
2021-09-30,5527.95186
2021-12-31,7573.19933
