date,Net_Gen_By_Fuel_MWh
2001-03-31,8.91476
2001-06-30,10.03964
2001-09-30,8.79737
2001-12-31,9.83367
2002-03-31,9.18984
2002-06-30,9.59376
2002-09-30,9.17796
2002-12-31,10.16752
2003-03-31,8.3808
2003-06-30,10.61327
2003-09-30,10.5984
2003-12-31,10.97685
2004-03-31,10.39473
2004-06-30,10.39473
2004-09-30,10.39473
2004-12-31,10.39473
2005-03-31,9.2121
2005-06-30,10.25965
2005-09-30,10.64397
2005-12-31,10.36167
2006-03-31,8.55924
2006-06-30,11.11816
2006-09-30,11.19422
2006-12-31,9.44837
2007-03-31,9.85713
2007-06-30,9.07613
2007-09-30,10.01566
2007-12-31,9.53438
2008-03-31,11.10422
2008-06-30,10.54079
2008-09-30,11.57676
2008-12-31,10.81979
2009-03-31,11.33023
2009-06-30,11.11898
2009-09-30,12.57391
2009-12-31,11.58539
2010-03-31,11.37086
2010-06-30,12.0455
2010-09-30,11.14644
2010-12-31,12.26503
2011-03-31,13.00624
2011-06-30,12.42959
2011-09-30,13.04839
2011-12-31,12.8414
2012-03-31,11.64499
2012-06-30,12.73912
2012-09-30,13.25401
2012-12-31,12.72087
2013-03-31,10.74476
2013-06-30,2.47485
2013-09-30,10.13583
2013-12-31,11.39006
2014-03-31,10.70931
2014-06-30,10.0227
2014-09-30,10.89339
2014-12-31,11.37853
2015-03-31,10.86157
2015-06-30,9.33686
2015-09-30,11.06552
2015-12-31,10.57085
2016-03-31,10.28873
2016-06-30,9.42932
2016-09-30,10.89958
2016-12-31,9.99918
2017-03-31,9.94307
2017-06-30,8.14758
2017-09-30,10.58435
2017-12-31,10.57074
2018-03-31,9.83981
2018-06-30,10.63872
2018-09-30,9.61407
2018-12-31,4.00221
2019-03-31,0.83034
2019-06-30,10.3921
2019-09-30,12.59588
2019-12-31,11.95286
2020-03-31,11.16654
2020-06-30,9.34908
2020-09-30,11.7458
2020-12-31,11.65598
2021-03-31,10.92223
2021-06-30,8.68293
2021-09-30,8.5046
2021-12-31,7.35755
