date,Net_Gen_By_Fuel_MWh
2001-03-31,13.798
2001-06-30,18.357
2001-09-30,17.24
2001-12-31,39.192
2002-03-31,102.699
2002-06-30,94.557
2002-09-30,85.449
2002-12-31,93.454
2003-03-31,130.812
2003-06-30,97.794
2003-09-30,83.176
2003-12-31,131.837
2004-03-31,161.83493
2004-06-30,158.30375
2004-09-30,163.71509
2004-12-31,135.15824
2005-03-31,144.69197
2005-06-30,179.02994
2005-09-30,183.60485
2005-12-31,226.94726
2006-03-31,251.233
2006-06-30,206.96
2006-09-30,214.552
2006-12-31,258.474
2007-03-31,246.982
2007-06-30,326.48
2007-09-30,304.157
2007-12-31,369.37528
2008-03-31,581.10612
2008-06-30,912.15447
2008-09-30,633.97915
2008-12-31,447.99443
2009-03-31,640.25554
2009-06-30,1147.37153
2009-09-30,1077.86121
2009-12-31,604.22536
2010-03-31,541.71507
2010-06-30,1486.71975
2010-09-30,1198.72757
2010-12-31,692.84441
2011-03-31,889.92012
2011-06-30,1549.49654
2011-09-30,1309.71604
2011-12-31,1026.24132
2012-03-31,1452.39935
2012-06-30,1861.85028
2012-09-30,1820.04889
2012-12-31,1209.1853
2013-03-31,1637.08461
2013-06-30,2339.31952
2013-09-30,2115.9179
2013-12-31,1363.37998
2014-03-31,1618.94585
2014-06-30,2527.83329
2014-09-30,1926.44142
2014-12-31,1482.18144
2015-03-31,1044.90281
2015-06-30,1949.6399
2015-09-30,2108.26503
2015-12-31,1528.74726
2016-03-31,1281.76407
2016-06-30,2432.10376
2016-09-30,2090.2368
2016-12-31,1353.02336
2017-03-31,1054.71808
2017-06-30,2014.98071
2017-09-30,1949.56717
2017-12-31,1207.32703
2018-03-31,1722.78015
2018-06-30,2433.683
2018-09-30,2144.42818
2018-12-31,1146.55067
2019-03-31,863.35685
2019-06-30,2354.9632
2019-09-30,2316.45431
2019-12-31,1034.11468
2020-03-31,2296.78746
2020-06-30,2397.96223
2020-09-30,2382.12019
2020-12-31,1700.38412
2021-03-31,2454.57044
2021-06-30,2645.31462
2021-09-30,2293.6023
2021-12-31,2199.77974
