date,Net_Gen_By_Fuel_MWh
2001-03-31,50758.154
2001-06-30,46660.273
2001-09-30,51480.157
2001-12-31,47678.006
2002-03-31,47882.431
2002-06-30,48394.667
2002-09-30,55631.078
2002-12-31,52414.701
2003-03-31,51678.018
2003-06-30,48607.749
2003-09-30,54840.56
2003-12-31,51223.186
2004-03-31,54195.43867
2004-06-30,51862.21268
2004-09-30,56514.45484
2004-12-31,52086.39459
2005-03-31,53954.61761
2005-06-30,51573.38374
2005-09-30,60762.4996
2005-12-31,51800.62416
2006-03-31,52807.32256
2006-06-30,53132.09906
2006-09-30,60070.5454
2006-12-31,52801.62763
2007-03-31,54601.73483
2007-06-30,55646.67793
2007-09-30,61675.11571
2007-12-31,54164.81178
2008-03-31,55785.63132
2008-06-30,52472.73618
2008-09-30,58672.53043
2008-12-31,55420.02681
2009-03-31,55850.73391
2009-06-30,51894.66812
2009-09-30,58503.26089
2009-12-31,53247.48064
2010-03-31,55565.31451
2010-06-30,53693.1141
2010-09-30,62147.85172
2010-12-31,58346.02583
2011-03-31,56229.38181
2011-06-30,53178.91391
2011-09-30,62404.95756
2011-12-31,55501.46909
2012-03-31,57087.48948
2012-06-30,51470.66392
2012-09-30,60792.98487
2012-12-31,54068.57721
2013-03-31,60347.98214
2013-06-30,54222.88279
2013-09-30,59373.40628
2013-12-31,52841.35926
2014-03-31,57807.04087
2014-06-30,53295.42799
2014-09-30,56279.21432
2014-12-31,53653.55131
2015-03-31,58371.00965
2015-06-30,49457.3206
2015-09-30,57906.2849
2015-12-31,48810.65209
2016-03-31,52039.28635
2016-06-30,49132.51431
2016-09-30,61753.70237
2016-12-31,52116.22736
2017-03-31,52639.47835
2017-06-30,48871.27642
2017-09-30,57892.19916
2017-12-31,54188.33961
2018-03-31,53488.96506
2018-06-30,49961.93945
2018-09-30,59108.24289
2018-12-31,52826.68251
2019-03-31,58418.54208
2019-06-30,51441.46807
2019-09-30,63482.68083
2019-12-31,55652.63959
2020-03-31,57365.53064
2020-06-30,50356.28385
2020-09-30,66029.20999
2020-12-31,56392.25467
2021-03-31,62753.99212
2021-06-30,55917.51209
2021-09-30,66555.19722
2021-12-31,56421.6585
