date,Net_Gen_By_Fuel_MWh
2001-03-31,347.033
2001-06-30,547.804
2001-09-30,1097.114
2001-12-31,1044.344
2002-03-31,1126.321
2002-06-30,1376.334
2002-09-30,3136.97
2002-12-31,1075.912
2003-03-31,829.022
2003-06-30,1097.061
2003-09-30,2485.237
2003-12-31,1107.215
2004-03-31,1874.11052
2004-06-30,2775.99708
2004-09-30,4105.91746
2004-12-31,1057.62185
2005-03-31,1510.76694
2005-06-30,2025.62433
2005-09-30,5443.9966
2005-12-31,1827.36197
2006-03-31,2189.02659
2006-06-30,3252.18065
2006-09-30,6375.70627
2006-12-31,1724.81496
2007-03-31,2364.56234
2007-06-30,4407.77698
2007-09-30,8143.1641
2007-12-31,4282.09612
2008-03-31,3076.2603
2008-06-30,3672.09004
2008-09-30,7350.54886
2008-12-31,4631.70759
2009-03-31,5870.8452
2009-06-30,7214.58127
2009-09-30,9833.41545
2009-12-31,6296.11292
2010-03-31,5176.90368
2010-06-30,7730.32024
2010-09-30,11648.71403
2010-12-31,9161.67016
2011-03-31,8611.04288
2011-06-30,10067.91449
2011-09-30,12660.94818
2011-12-31,10452.25941
2012-03-31,13243.92914
2012-06-30,12818.62743
2012-09-30,15062.31227
2012-12-31,11937.3301
2013-03-31,12284.6488
2013-06-30,11256.85921
2013-09-30,14273.44283
2013-12-31,12122.75145
2014-03-31,10923.19367
2014-06-30,12018.67252
2014-09-30,16190.5022
2014-12-31,13888.86682
2015-03-31,12949.22066
2015-06-30,13575.50009
2015-09-30,17910.33524
2015-12-31,15019.59855
2016-03-31,14734.6768
2016-06-30,15407.30306
2016-09-30,21708.66793
2016-12-31,16197.99827
2017-03-31,16704.96472
2017-06-30,15246.36318
2017-09-30,22253.92944
2017-12-31,18298.19018
2018-03-31,16412.98575
2018-06-30,16972.24552
2018-09-30,24123.80748
2018-12-31,18881.81983
2019-03-31,22317.6539
2019-06-30,20615.98137
2019-09-30,30316.8127
2019-12-31,24789.89611
2020-03-31,29120.79715
2020-06-30,25473.38525
2020-09-30,38225.68855
2020-12-31,27946.98901
2021-03-31,30715.479
2021-06-30,28988.40394
2021-09-30,35796.20533
2021-12-31,31845.88412
