date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.40389
2013-09-30,0.66811
2013-12-31,0.9346
2014-03-31,1.62395
2014-06-30,2.90174
2014-09-30,3.04558
2014-12-31,2.23172
2015-03-31,2.63034
2015-06-30,4.04874
2015-09-30,4.43256
2015-12-31,3.23903
2016-03-31,2.76797
2016-06-30,3.94839
2016-09-30,4.64175
2016-12-31,3.30489
2017-03-31,2.847
2017-06-30,4.3948
2017-09-30,4.49218
2017-12-31,2.34901
2018-03-31,5.26915
2018-06-30,9.68292
2018-09-30,7.51561
2018-12-31,6.39831
2019-03-31,10.46132
2019-06-30,15.38776
2019-09-30,18.6929
2019-12-31,10.17074
2020-03-31,35.7749
2020-06-30,63.89874
2020-09-30,62.13529
2020-12-31,32.82473
2021-03-31,64.66715
2021-06-30,106.86419
2021-09-30,101.23525
2021-12-31,64.51958
