date,Net_Gen_By_Fuel_MWh
2001-03-31,9744.553
2001-06-30,9067.44
2001-09-30,10394.579
2001-12-31,7492.432
2002-03-31,8577.795
2002-06-30,9424.628
2002-09-30,10402.913
2002-12-31,8542.386
2003-03-31,9304.48
2003-06-30,8264.531
2003-09-30,10295.876
2003-12-31,9567.135
2004-03-31,9794.89392
2004-06-30,9588.01177
2004-09-30,10382.70993
2004-12-31,9156.60485
2005-03-31,9378.20839
2005-06-30,9481.58821
2005-09-30,10842.58303
2005-12-31,9989.67919
2006-03-31,9577.30248
2006-06-30,9570.90342
2006-09-30,10669.25725
2006-12-31,9655.38278
2007-03-31,9143.65076
2007-06-30,10397.34322
2007-09-30,11460.34884
2007-12-31,10581.3267
2008-03-31,10802.6219
2008-06-30,10659.2581
2008-09-30,11483.03618
2008-12-31,8594.7785
2009-03-31,8950.34248
2009-06-30,7953.59579
2009-09-30,8767.33427
2009-12-31,8806.2398
2010-03-31,10094.35535
2010-06-30,8876.78122
2010-09-30,10800.672
2010-12-31,7899.30939
2011-03-31,8502.0609
2011-06-30,9634.41909
2011-09-30,10226.92777
2011-12-31,5805.14122
2012-03-31,6641.24253
2012-06-30,7227.05984
2012-09-30,8233.97029
2012-12-31,6293.87218
2013-03-31,6112.41862
2013-06-30,5640.80717
2013-09-30,6428.16833
2013-12-31,6225.75366
2014-03-31,7370.0891
2014-06-30,7561.53649
2014-09-30,7918.13257
2014-12-31,6064.54863
2015-03-31,6663.64223
2015-06-30,5460.91196
2015-09-30,6635.23937
2015-12-31,3871.37991
2016-03-31,5222.22944
2016-06-30,5100.08405
2016-09-30,6617.4188
2016-12-31,4063.18125
2017-03-31,4162.58609
2017-06-30,5050.16748
2017-09-30,5388.93157
2017-12-31,3550.05936
2018-03-31,4379.30611
2018-06-30,4695.30665
2018-09-30,5562.33218
2018-12-31,4860.53971
2019-03-31,3428.73118
2019-06-30,3544.16979
2019-09-30,4771.83972
2019-12-31,3116.7546
2020-03-31,2433.41439
2020-06-30,2429.77279
2020-09-30,4360.59612
2020-12-31,3235.3099
2021-03-31,4217.88736
2021-06-30,3465.54681
2021-09-30,4435.64046
2021-12-31,3068.80516
