date,Net_Gen_By_Fuel_MWh
2001-03-31,63.681
2001-06-30,119.6
2001-09-30,112.329
2001-12-31,9.191
2002-03-31,13.511
2002-06-30,20.355
2002-09-30,49.546
2002-12-31,2.366
2003-03-31,38.2
2003-06-30,30.874
2003-09-30,90.992
2003-12-31,15.958
2004-03-31,11.41715
2004-06-30,12.35664
2004-09-30,66.44174
2004-12-31,22.03947
2005-03-31,19.62537
2005-06-30,105.68766
2005-09-30,120.31357
2005-12-31,25.31939
2006-03-31,6.61116
2006-06-30,45.34469
2006-09-30,175.18147
2006-12-31,38.67967
2007-03-31,39.82285
2007-06-30,65.57314
2007-09-30,167.19967
2007-12-31,78.4459
2008-03-31,12.93908
2008-06-30,22.75478
2008-09-30,177.39111
2008-12-31,15.48424
2009-03-31,5.0437
2009-06-30,36.82402
2009-09-30,21.3538
2009-12-31,17.11228
2010-03-31,-0.84136
2010-06-30,15.18145
2010-09-30,109.80912
2010-12-31,10.55657
2011-03-31,1.74927
2011-06-30,2.25089
2011-09-30,116.06159
2011-12-31,9.2515
2012-03-31,0.58175
2012-06-30,34.27555
2012-09-30,156.59992
2012-12-31,22.64352
2013-03-31,27.15845
2013-06-30,16.76159
2013-09-30,245.15065
2013-12-31,213.13028
2014-03-31,64.95052
2014-06-30,62.72501
2014-09-30,186.30004
2014-12-31,150.84169
2015-03-31,138.64923
2015-06-30,194.52255
2015-09-30,265.43557
2015-12-31,174.14515
2016-03-31,237.42038
2016-06-30,241.59033
2016-09-30,272.00363
2016-12-31,167.54704
2017-03-31,100.70994
2017-06-30,160.40866
2017-09-30,244.79662
2017-12-31,148.43243
2018-03-31,193.60361
2018-06-30,391.29002
2018-09-30,379.0122
2018-12-31,203.813
2019-03-31,342.80177
2019-06-30,321.68878
2019-09-30,298.53954
2019-12-31,206.59456
2020-03-31,346.79208
2020-06-30,258.36456
2020-09-30,401.83534
2020-12-31,95.4739
2021-03-31,0.0
2021-06-30,448.84123
2021-09-30,569.84722
2021-12-31,356.86915
