date,Net_Gen_By_Fuel_MWh
2001-03-31,1696.416
2001-06-30,1047.354
2001-09-30,2227.107
2001-12-31,1975.652
2002-03-31,2073.844
2002-06-30,1622.572
2002-09-30,1789.427
2002-12-31,2487.819
2003-03-31,2789.002
2003-06-30,2794.043
2003-09-30,3226.553
2003-12-31,3194.048
2004-03-31,2587.54362
2004-06-30,1448.14056
2004-09-30,2766.0797
2004-12-31,3606.34813
2005-03-31,2976.14122
2005-06-30,2072.15397
2005-09-30,2416.54694
2005-12-31,1844.69889
2006-03-31,2007.68945
2006-06-30,1445.61434
2006-09-30,1896.60212
2006-12-31,2398.7441
2007-03-31,1879.75609
2007-06-30,1082.87986
2007-09-30,1297.98387
2007-12-31,678.98119
2008-03-31,1664.46514
2008-06-30,1097.40925
2008-09-30,1482.08858
2008-12-31,1402.11004
2009-03-31,2244.41237
2009-06-30,2254.50518
2009-09-30,2066.23416
2009-12-31,3646.81029
2010-03-31,2912.28674
2010-06-30,1276.25527
2010-09-30,1719.50354
2010-12-31,2229.74945
2011-03-31,2644.24943
2011-06-30,2294.27336
2011-09-30,1930.57731
2011-12-31,2706.53889
2012-03-31,3072.15329
2012-06-30,1003.28932
2012-09-30,1913.97911
2012-12-31,2306.23828
2013-03-31,3538.34828
2013-06-30,3030.43192
2013-09-30,2952.78649
2013-12-31,2921.71631
2014-03-31,2876.98142
2014-06-30,1236.51455
2014-09-30,1924.46786
2014-12-31,2862.68618
2015-03-31,2798.95865
2015-06-30,1585.6642
2015-09-30,2211.97377
2015-12-31,2984.64338
2016-03-31,3132.60774
2016-06-30,822.47936
2016-09-30,1546.8225
2016-12-31,1272.15141
2017-03-31,2380.55859
2017-06-30,2693.43034
2017-09-30,1894.06785
2017-12-31,1723.07722
2018-03-31,2797.71822
2018-06-30,3114.721
2018-09-30,2250.92903
2018-12-31,2129.35676
2019-03-31,2547.51187
2019-06-30,3054.60002
2019-09-30,2319.57708
2019-12-31,2208.13504
2020-03-31,3401.39742
2020-06-30,3789.78356
2020-09-30,3304.67651
2020-12-31,2956.53451
2021-03-31,3288.19044
2021-06-30,3079.61406
2021-09-30,3196.28018
2021-12-31,3286.1101
