date,Net_Gen_By_Fuel_MWh
2001-03-31,2.37747
2001-06-30,2.59247
2001-09-30,0.82388
2001-12-31,0.82603
2002-03-31,2.73632
2002-06-30,1.29372
2002-09-30,0.327
2002-12-31,1.19325
2003-03-31,2.6445
2003-06-30,1.758
2003-09-30,1.543
2003-12-31,1.507
2004-03-31,1.62183
2004-06-30,1.01245
2004-09-30,1.31036
2004-12-31,1.8543
2005-03-31,2.9094
2005-06-30,1.6772
2005-09-30,2.81523
2005-12-31,1.19854
2006-03-31,2.07938
2006-06-30,0.77372
2006-09-30,0.53397
2006-12-31,1.24988
2007-03-31,1.40353
2007-06-30,0.41436
2007-09-30,0.3371
2007-12-31,0.36517
2008-03-31,7.5316
2008-06-30,0.10572
2008-09-30,0.13869
2008-12-31,0.14124
2009-03-31,0.09189
2009-06-30,0.11378
2009-09-30,0.20737
2009-12-31,0.37478
2010-03-31,0.6106
2010-06-30,0.7139
2010-09-30,0.538
2010-12-31,0.72348
2011-03-31,0.53325
2011-06-30,0.2869
2011-09-30,0.1948
2011-12-31,0.08733
2012-03-31,0.1538
2012-06-30,0.15604
2012-09-30,0.08539
2012-12-31,0.15478
2013-03-31,0.13143
2013-06-30,0.12906
2013-09-30,0.18329
2013-12-31,0.10731
2014-03-31,0.16241
2014-06-30,3.98129
2014-09-30,4.3298
2014-12-31,5.56773
2015-03-31,5.05419
2015-06-30,4.75913
2015-09-30,5.67235
2015-12-31,5.17359
2016-03-31,6.00681
2016-06-30,4.54459
2016-09-30,5.22662
2016-12-31,3.80489
2017-03-31,6.01941
2017-06-30,5.89654
2017-09-30,6.38747
2017-12-31,3.13652
2018-03-31,3.19152
2018-06-30,1.4534
2018-09-30,1.69029
2018-12-31,2.12186
2019-03-31,3.33114
2019-06-30,2.90779
2019-09-30,1.88148
2019-12-31,2.05766
2020-03-31,3.50063
2020-06-30,2.32761
2020-09-30,2.30092
2020-12-31,1.6153
2021-03-31,0.0
2021-06-30,1.92292
2021-09-30,0.0
2021-12-31,0.0
