date,Net_Gen_By_Fuel_MWh
2001-03-31,187.88653
2001-06-30,210.08053
2001-09-30,212.91312
2001-12-31,211.14497
2002-03-31,192.37968
2002-06-30,175.07128
2002-09-30,202.044
2002-12-31,230.73475
2003-03-31,201.2405
2003-06-30,204.46
2003-09-30,212.631
2003-12-31,211.503
2004-03-31,203.44354
2004-06-30,212.02997
2004-09-30,205.21764
2004-12-31,209.23757
2005-03-31,198.64521
2005-06-30,190.12684
2005-09-30,193.13051
2005-12-31,184.18278
2006-03-31,192.81075
2006-06-30,204.82759
2006-09-30,201.61778
2006-12-31,211.34318
2007-03-31,237.3775
2007-06-30,246.66591
2007-09-30,234.75343
2007-12-31,251.72955
2008-03-31,245.93483
2008-06-30,235.39584
2008-09-30,247.2912
2008-12-31,236.68837
2009-03-31,226.63429
2009-06-30,225.53362
2009-09-30,244.98675
2009-12-31,253.31342
2010-03-31,220.97829
2010-06-30,263.93166
2010-09-30,243.83777
2010-12-31,258.80183
2011-03-31,252.48431
2011-06-30,259.44358
2011-09-30,245.95529
2011-12-31,261.89345
2012-03-31,194.64049
2012-06-30,193.98296
2012-09-30,217.84636
2012-12-31,229.98806
2013-03-31,264.42563
2013-06-30,259.35375
2013-09-30,280.47674
2013-12-31,305.93323
2014-03-31,288.02622
2014-06-30,283.42311
2014-09-30,292.46989
2014-12-31,277.07933
2015-03-31,271.81544
2015-06-30,274.87409
2015-09-30,292.2437
2015-12-31,286.8783
2016-03-31,262.10114
2016-06-30,251.23718
2016-09-30,267.18882
2016-12-31,269.20408
2017-03-31,284.70225
2017-06-30,264.66619
2017-09-30,282.93955
2017-12-31,251.03548
2018-03-31,284.24619
2018-06-30,290.29765
2018-09-30,332.87822
2018-12-31,283.62762
2019-03-31,283.03071
2019-06-30,336.92403
2019-09-30,360.19312
2019-12-31,302.7514
2020-03-31,309.75532
2020-06-30,295.97169
2020-09-30,276.69895
2020-12-31,221.6257
2021-03-31,228.27948
2021-06-30,273.42383
2021-09-30,282.19489
2021-12-31,244.74671
