date,Net_Gen_By_Fuel_MWh
2001-03-31,192120.196
2001-06-30,185538.569
2001-09-30,200933.987
2001-12-31,190233.556
2002-03-31,195624.784
2002-06-30,187841.15
2002-09-30,205679.305
2002-12-31,190918.848
2003-03-31,190086.214
2003-06-30,183158.278
2003-09-30,202260.277
2003-12-31,188227.926
2004-03-31,198193.225
2004-06-30,191271.74
2004-09-30,208975.58
2004-12-31,190087.842
2005-03-31,192313.703
2005-06-30,184598.749
2005-09-30,209190.54
2005-12-31,195883.373
2006-03-31,198248.035
2006-06-30,188734.377
2006-09-30,210844.916
2006-12-31,189391.308
2007-03-31,203536.131
2007-06-30,191249.053
2007-09-30,213068.023
2007-12-31,198571.546
2008-03-31,200581.423
2008-06-30,192477.983
2008-09-30,213989.203
2008-12-31,199159.826
2009-03-31,205570.267
2009-06-30,194538.595
2009-09-30,210945.37
2009-12-31,187800.353
2010-03-31,202449.432
2010-06-30,192570.75956
2010-09-30,212858.766
2010-12-31,199089.343
2011-03-31,203193.489
2011-06-30,176830.386
2011-09-30,210532.27
2011-12-31,199648.222
2012-03-31,197956.822
2012-06-30,183092.461
2012-09-30,203242.322
2012-12-31,185039.644
2013-03-31,195836.591
2013-06-30,186044.727
2013-09-30,207682.588
2013-12-31,199452.567
2014-03-31,198198.639
2014-06-30,187470.25
2014-09-30,210603.372
2014-12-31,200893.721
2015-03-31,202278.266
2015-06-30,194127.185
2015-09-30,210303.9
2015-12-31,190468.526
2016-03-31,204311.81
2016-06-30,196483.662
2016-09-30,207323.928
2016-12-31,197574.548
2017-03-31,201774.183
2017-06-30,185066.887
2017-09-30,211796.355
2017-12-31,206312.21
2018-03-31,206471.726
2018-06-30,196140.959
2018-09-30,209463.229
2018-12-31,195008.563
2019-03-31,203495.429
2019-06-30,196509.352
2019-09-30,210172.859
2019-12-31,199231.622
2020-03-31,204077.43
2020-06-30,190713.069
2020-09-30,204094.944
2020-12-31,190993.42
2021-03-31,198394.861
2021-06-30,186556.512
2021-09-30,202786.467
2021-12-31,190413.66
