date,Net_Gen_By_Fuel_MWh
2001-03-31,50.566
2001-06-30,210.955
2001-09-30,242.096
2001-12-31,39.138
2002-03-31,79.282
2002-06-30,199.041
2002-09-30,213.07
2002-12-31,63.438
2003-03-31,81.07437
2003-06-30,218.953
2003-09-30,180.256
2003-12-31,53.718
2004-03-31,76.40075
2004-06-30,226.55362
2004-09-30,215.58022
2004-12-31,56.62042
2005-03-31,59.90617
2005-06-30,227.89221
2005-09-30,209.28219
2005-12-31,53.21377
2006-03-31,65.87199
2006-06-30,192.51151
2006-09-30,198.63929
2006-12-31,50.68322
2007-03-31,80.57405
2007-06-30,223.11438
2007-09-30,229.1686
2007-12-31,78.93597
2008-03-31,126.73054
2008-06-30,321.0486
2008-09-30,308.7571
2008-12-31,107.77856
2009-03-31,115.74077
2009-06-30,313.25327
2009-09-30,332.47294
2009-12-31,129.71242
2010-03-31,118.68944
2010-06-30,441.50429
2010-09-30,455.35539
2010-12-31,196.63245
2011-03-31,247.37972
2011-06-30,577.44843
2011-09-30,605.9841
2011-12-31,386.8834
2012-03-31,461.78859
2012-06-30,1308.38779
2012-09-30,1429.02381
2012-12-31,1127.47505
2013-03-31,1361.86549
2013-06-30,2290.1303
2013-09-30,2721.71767
2013-12-31,2661.90693
2014-03-31,2903.20464
2014-06-30,5160.07774
2014-09-30,5499.44145
2014-12-31,4128.30736
2015-03-31,4711.16152
2015-06-30,7440.86512
2015-09-30,7531.74089
2015-12-31,5209.13607
2016-03-31,6344.81749
2016-06-30,9778.36316
2016-09-30,11549.0484
2016-12-31,8381.89211
2017-03-31,9589.26986
2017-06-30,16807.08428
2017-09-30,15997.08436
2017-12-31,10893.42658
2018-03-31,12271.62761
2018-06-30,20320.40603
2018-09-30,19411.18524
2018-12-31,11822.09567
2019-03-31,13314.60685
2019-06-30,21885.26633
2019-09-30,22826.41442
2019-12-31,13910.53463
2020-03-31,16369.93127
2020-06-30,27228.14076
2020-09-30,27657.51628
2020-12-31,17943.12682
2021-03-31,21409.86718
2021-06-30,34963.26908
2021-09-30,34833.93329
2021-12-31,23471.16907
